Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.047 , 0.976 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 112 , 142 , 0.068173 , 41 , 0.039458 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 681.39 , 0.73568 , 0.321 , 2.289 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 313 , 363 , 0.210309 , 1 , 0.039645 , 1 , 0 , 0.109024 , 44 , 0.060092 , 36 , 0.131193 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.043 , 19.508 , 2 , 653 , 3.44 , 2.8 , 3.44 , 656.44 , 656.44 , 0 , 4953 , 738 , 0.83618 , 1211 , 1.13936 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 646.78 , 1.47157 , 0.342 , 3.009 , 2 , 653 , 3.44 , 2.8 , 3.44 , 656.44 , 656.44 , 0 , 811 , 324 , 0.280212 , 39 , 0.098101 , 13 , 0 , 0.846046 , 69 , 0.062001 , 78 , 0.881315 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.018 , 23.805 , 2 , 707 , 1.76 , 1.52 , 1.76 , 708.76 , 708.76 , 0 , 3541 , 901 , 1.02861 , 382 , 0.642154 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.176 , 40.35 , 2 , 707 , 1.76 , 1.52 , 1.76 , 708.76 , 708.76 , 0 , 4874 , 1293 , 1.75439 , 36 , 0.693039 , 54 , 0 , 2.02323 , 0 , 0.015579 , 165 , 2.0426 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 713.24 , 701 , 1.71611 , 0.027 , 3.37 , 2 , 710 , 3.24 , 3.2 , 3.24 , 713.24 , 713.24 , 0 , 774 , 378 , 0.232912 , 100 , 0.168944 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 713.24 , 704.089 , 1.28308 , 0.439 , 2.646 , 2 , 710 , 3.24 , 3.2 , 3.24 , 713.24 , 713.24 , 0 , 422 , 283 , 0.227142 , 43 , 0.091426 , 5 , 0 , 0.244809 , 57 , 0.077096 , 34 , 0.233968 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.4 , 715 , 1.7047 , 0.033 , 2.553 , 2 , 724 , 3.4 , 3.16 , 3.4 , 727.4 , 727.4 , 0 , 1573 , 332 , 0.279067 , 235 , 0.277722 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.4 , 717.703 , 1.33311 , 0.279 , 1.653 , 2 , 724 , 3.4 , 3.16 , 3.4 , 727.4 , 727.4 , 0 , 332 , 228 , 0.174143 , 18 , 0.049252 , 14 , 0 , 0.250067 , 10 , 0.036769 , 31 , 0.1626 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 663.6 , 652 , 1.74804 , 0.022 , 0.527 , 2 , 659 , 4.6 , 4.6 , 4.6 , 663.6 , 663.6 , 0 , 101 , 143 , 0.043059 , 46 , 0.037177 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 663.6 , 652.96 , 1.60338 , 0.162 , 0.401 , 2 , 659 , 4.6 , 4.6 , 4.6 , 663.6 , 663.6 , 0 , 7 , 108 , 0.027522 , 1 , 0.002471 , 1 , 0 , 0.022443 , 7 , 0.020005 , 8 , 0.016968 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 644.6 , 635.5 , 1.41173 , 0.064 , 0.718 , 2 , 639 , 5.6 , 5.2 , 5.6 , 644.6 , 644.6 , 0 , 322 , 144 , 0.075058 , 123 , 0.093219 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 644.6 , 636.54 , 1.25039 , 0.225 , 0.654 , 2 , 639 , 5.6 , 5.2 , 5.6 , 644.6 , 644.6 , 0 , 3 , 109 , 0.047702 , 10 , 0.014982 , 8 , 0 , 0.104568 , 4 , 0.018175 , 7 , 0.101212 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 669 , 658 , 1.64425 , 0.021 , 0.879 , 2 , 666 , 3 , 2.52 , 3 , 669 , 669 , 0 , 508 , 180 , 0.10047 , 91 , 0.115644 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 669 , 659.5 , 1.42003 , 0.176 , 2.522 , 2 , 666 , 3 , 2.52 , 3 , 669 , 669 , 0 , 425 , 344 , 0.172283 , 14 , 0.067058 , 13 , 0 , 0.192549 , 2 , 0.013404 , 49 , 0.226902 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.84 , 601 , 1.44956 , 0.042 , 3.591 , 2 , 608 , 1.84 , 1.76 , 1.84 , 609.84 , 609.84 , 0 , 903 , 278 , 0.191357 , 180 , 0.232351 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.84 , 602.6 , 1.1872 , 0.282 , 1.045 , 2 , 608 , 1.84 , 1.76 , 1.84 , 609.84 , 609.84 , 0 , 128 , 159 , 0.083863 , 20 , 0.030018 , 15 , 0 , 0.101613 , 24 , 0.022197 , 25 , 0.103553 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 669.12 , 655 , 2.11023 , 0.011 , 5.566 , 2 , 667 , 2.12 , 2.12 , 2.12 , 669.12 , 669.12 , 0 , 647 , 427 , 0.220405 , 102 , 0.142473 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 669.12 , 656.57 , 1.8756 , 0.242 , 3.891 , 2 , 667 , 2.12 , 2.12 , 2.12 , 669.12 , 669.12 , 0 , 589 , 370 , 0.294681 , 7 , 0.094272 , 3 , 0 , 0.916855 , 10 , 0.034834 , 27 , 0.948191 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.4 , 702 , 1.45985 , 0.024 , 0.757 , 2 , 707 , 5.4 , 5.32 , 5.4 , 712.4 , 712.4 , 0 , 383 , 211 , 0.086852 , 122 , 0.095407 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.4 , 703.2 , 1.29141 , 0.188 , 0.628 , 2 , 707 , 5.4 , 5.32 , 5.4 , 712.4 , 712.4 , 0 , 80 , 134 , 0.049918 , 14 , 0.014365 , 5 , 0 , 0.110416 , 4 , 0.017054 , 21 , 0.08908 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 658.56 , 642.5 , 2.43865 , 0.023 , 6.534 , 2 , 653 , 5.56 , 5.56 , 5.56 , 658.56 , 658.56 , 0 , 640 , 479 , 0.215152 , 97 , 0.122249 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 658.56 , 650.62 , 1.20566 , 0.325 , 1.455 , 2 , 653 , 5.56 , 5.56 , 5.56 , 658.56 , 658.56 , 0 , 161 , 149 , 0.117067 , 17 , 0.034133 , 6 , 0 , 0.27318 , 42 , 0.047109 , 33 , 0.281281 , 1 , 0
