Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 812.5 , 9.01456 , 0.031 , 1800.02 , 6 , 893 , 0 , 0 , 0 , 893 , 859.146 , 3.79106 , 111003 , 11174 , 30.3563 , 5060 , 11.2485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 859.398 , 3.76283 , 300.182 , 326.182 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 4361 , 1708 , 9.22028 , 11 , 0.204699 , 6 , 0 , 0.961898 , 6691 , 39.301 , 371 , 1.16632 , 1 , 0
PR , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.036 , 24.5 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 5878 , 1487 , 1.42612 , 245 , 0.418738 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.49 , 1.26862 , 88.859 , 89.568 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 89 , 264 , 2.75508 , 3 , 0.006913 , 2 , 0 , 0.016204 , 4379 , 9.27098 , 88 , 0.023278 , 1 , 0
PR , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 871.75 , 774.4 , 11.1672 , 0.053 , 1800.04 , 6 , 794 , 77.75 , 77.43 , 77.75 , 871.75 , 820.611 , 5.86623 , 97752 , 14610 , 29.8532 , 5318 , 15.6086 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 808.941 , 4.39073 , 300.128 , 904.285 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 39742 , 6675 , 20.204 , 64 , 2.57436 , 42 , 0 , 10.8244 , 7335 , 12.7361 , 1071 , 11.1969 , 1 , 0
PR , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 773.947 , 2.55988 , 0.056 , 1.386 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 402 , 390 , 0.179131 , 18 , 0.0242 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.679 , 0.956911 , 42.208 , 42.697 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 20 , 281 , 3.1964 , 0 , 0.003923 , 0 , 0 , 0.012661 , 2665 , 7.30818 , 139 , 0.020401 , 1 , 0
PR , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 800.5 , 8.85076 , 0.054 , 1800.02 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 830.917 , 5.38735 , 50172 , 15256 , 22.6437 , 3192 , 5.4691 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 832.306 , 5.22918 , 300.239 , 1800.06 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 852.4 , 2.94115 , 42115 , 13519 , 32.526 , 69 , 2.68829 , 28 , 0 , 15.3152 , 5957 , 25.5572 , 1033 , 16.2049 , 0 , 0
PR , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 786.5 , 5.23069 , 0.08 , 1800.02 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 822.8 , 0.856719 , 123599 , 9246 , 48.4875 , 629 , 8.79339 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.795 , 3.38769 , 116.814 , 253.056 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 16425 , 3317 , 13.1232 , 9 , 0.838061 , 1 , 0 , 2.6758 , 3550 , 16.3089 , 198 , 2.82312 , 1 , 0
PR , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 731.74 , 668.714 , 8.61313 , 0.063 , 1800.03 , 6 , 676 , 55.74 , 52.78 , 55.74 , 731.74 , 703.711 , 3.83052 , 84003 , 12557 , 34.1164 , 3493 , 8.20228 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 687.769 , 5.74246 , 300.269 , 1319.57 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 77823 , 6176 , 37.1514 , 15 , 4.09113 , 11 , 0 , 16.6908 , 6648 , 23.4258 , 576 , 18.6947 , 1 , 0
