Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
DISAGG , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.072 , 1.242 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 67 , 142 , 0.090016 , 42 , 0.066735 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.071 , 1.246 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 66 , 142 , 0.09054 , 42 , 0.067086 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+SEP , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.072 , 1.256 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 67 , 142 , 0.090066 , 42 , 0.101566 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF+SEP , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.071 , 1.249 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 66 , 142 , 0.08998 , 42 , 0.103039 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.073 , 1.326 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 77 , 138 , 0.086656 , 37 , 0.066642 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+AF , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.071 , 1.304 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 77 , 138 , 0.085984 , 37 , 0.066486 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SEP , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.074 , 1.383 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 76 , 138 , 0.086109 , 39 , 0.120294 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+AF+SEP , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.07 , 1.362 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 72 , 138 , 0.086365 , 39 , 0.121924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.06 , 25.516 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 4646 , 706 , 1.08785 , 1483 , 2.23287 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.058 , 54.332 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 7769 , 900 , 1.61941 , 2048 , 3.43739 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+SEP , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.062 , 28.795 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 4814 , 692 , 1.25623 , 1282 , 3.62091 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF+SEP , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.063 , 53.437 , 2 , 653 , 3.44 , 2.8 , 3.28 , 656.44 , 656.44 , 0 , 6488 , 982 , 1.58669 , 1935 , 4.64807 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
