Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 812.5 , 9.01456 , 0.037 , 1800.05 , 6 , 893 , 0 , 0 , 0 , 893 , 851.644 , 4.63108 , 64345 , 9088 , 14.4352 , 2811 , 0.420715 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 912.65 , 812.5 , 10.9735 , 0.035 , 1800.07 , 6 , 906 , 6.65 , 6.65 , 6.65 , 912.65 , 851.556 , 6.69418 , 83637 , 10381 , 17.4527 , 4292 , 0.650613 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 823.51 , 7.7816 , 0.049 , 823.709 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 54118 , 5401 , 12.1737 , 168 , 0.087389 , 0 , 453 , 1.27131 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 850.711 , 4.7356 , 60.094 , 114.832 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 7274 , 2316 , 2.00903 , 59 , 0.015408 , 0 , 0 , 0 , 2886 , 0.928347 , 359 , 0.14156 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.053 , 29.097 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 5398 , 1493 , 0.765149 , 300 , 0.021199 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.055 , 19.626 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 4024 , 1191 , 0.626525 , 198 , 0.012042 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 781 , 3.43122 , 0.054 , 7.366 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 988 , 750 , 0.210899 , 27 , 0.003193 , 0 , 63 , 0.014246 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 797.091 , 1.44164 , 60.096 , 60.874 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 68 , 237 , 0.699879 , 5 , 0.000509 , 0 , 0 , 0 , 3265 , 1.01965 , 82 , 0.002687 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 774.4 , 8.47309 , 0.059 , 1800.06 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 817.022 , 3.43557 , 60538 , 9074 , 14.7356 , 2926 , 0.556852 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 871.75 , 774.4 , 11.1672 , 0.06 , 1800.08 , 6 , 794 , 77.75 , 77.43 , 77.75 , 871.75 , 815.7 , 6.4296 , 63839 , 11654 , 15.1134 , 4414 , 0.887926 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 847.37 , 779.71 , 7.98471 , 0.057 , 1800.08 , 6 , 818 , 29.37 , 29.05 , 29.37 , 847.37 , 833.664 , 1.61743 , 39138 , 11265 , 15.0069 , 294 , 0.093282 , 0 , 1026 , 1.37114 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 801.154 , 5.31098 , 60.177 , 1325.27 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 46443 , 7167 , 12.9827 , 233 , 0.090254 , 0 , 0 , 0 , 2871 , 0.621134 , 887 , 1.02997 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 773.947 , 2.55988 , 0.062 , 1.706 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 92 , 330 , 0.039502 , 21 , 0.001051 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 773.947 , 2.55988 , 0.06 , 1.35 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 130 , 323 , 0.051193 , 18 , 0.001299 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 776.777 , 2.20361 , 0.06 , 2.279 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 409 , 644 , 0.097668 , 7 , 0.001239 , 0 , 44 , 0.008118 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.679 , 0.957029 , 60.168 , 60.923 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 10 , 277 , 1.92368 , 1 , 0.000141 , 0 , 0 , 0 , 2661 , 2.45318 , 139 , 0.003877 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 800.5 , 8.85076 , 0.062 , 1800.06 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 823.607 , 6.21965 , 26022 , 11600 , 9.53788 , 1927 , 0.193367 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 900.71 , 800.5 , 11.1257 , 0.062 , 1800.06 , 6 , 853 , 47.71 , 46.48 , 47.71 , 900.71 , 826.5 , 8.23906 , 35289 , 13377 , 11.6234 , 3109 , 0.318374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 808.322 , 7.96015 , 0.067 , 1800.06 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 842.273 , 4.09428 , 26377 , 12584 , 11.0719 , 132 , 0.046498 , 0 , 874 , 1.03178 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 828.979 , 5.60799 , 60.139 , 1800.09 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 847.139 , 3.54023 , 25992 , 11065 , 11.9906 , 82 , 0.042735 , 0 , 0 , 0 , 2624 , 0.645853 , 948 , 0.820611 , 0 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 786.5 , 5.23069 , 0.068 , 1800.06 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 816 , 1.67609 , 46685 , 8973 , 14.9326 , 518 , 0.090594 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 786.5 , 5.23069 , 0.067 , 1800.06 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 820 , 1.19411 , 54944 , 8094 , 16.4889 , 582 , 0.100896 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 791.026 , 4.68537 , 0.089 , 192.073 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 14772 , 3619 , 4.4187 , 5 , 0.005715 , 0 , 140 , 0.210705 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 800.973 , 3.48673 , 60.169 , 133.936 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 7792 , 2475 , 3.51546 , 6 , 0.00633 , 0 , 0 , 0 , 2118 , 0.965639 , 160 , 0.058607 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 731.74 , 668.714 , 8.61313 , 0.069 , 1800.06 , 6 , 676 , 55.74 , 52.78 , 55.74 , 731.74 , 701.786 , 4.09357 , 61199 , 10465 , 17.3746 , 3159 , 0.396569 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 731.74 , 668.714 , 8.61313 , 0.069 , 1800.07 , 6 , 676 , 55.74 , 52.78 , 55.74 , 731.74 , 702.627 , 3.97864 , 55276 , 10796 , 14.5958 , 3124 , 0.361772 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 669.808 , 8.20402 , 0.054 , 1800.06 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 719.259 , 1.42678 , 64432 , 8359 , 19.3523 , 109 , 0.112354 , 0 , 620 , 1.81576 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 681.964 , 6.53806 , 60.066 , 1384.29 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 58758 , 6027 , 17.1154 , 69 , 0.082952 , 0 , 0 , 0 , 2797 , 0.845348 , 582 , 0.239786 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 661.625 , 3.76084 , 0.06 , 9.671 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 1898 , 994 , 0.454423 , 80 , 0.005156 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
