Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.051 , 1.232 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 631 , 180 , 0.076119 , 153 , 0.015779 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.05 , 1.531 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 641 , 190 , 0.074549 , 178 , 0.017822 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.79 , 1.04077 , 0.047 , 0.953 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 141 , 154 , 0.036833 , 27 , 0.003217 , 0 , 15 , 0.025171 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 681.158 , 0.987281 , 1.573 , 2.478 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 52 , 107 , 0.171166 , 11 , 0.001511 , 0 , 0 , 0 , 268 , 0.165313 , 20 , 0.017257 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.034 , 3.519 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1425 , 302 , 0.144532 , 391 , 0.039088 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.034 , 4.894 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1671 , 276 , 0.19326 , 611 , 0.060162 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 642.56 , 1.51281 , 0.04 , 1.407 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 353 , 217 , 0.065124 , 59 , 0.006391 , 0 , 22 , 0.059595 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.519 , 1.21261 , 1.527 , 2.838 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 133 , 170 , 0.19558 , 25 , 0.002577 , 0 , 0 , 0 , 236 , 0.253245 , 39 , 0.02612 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688 , 3.13952 , 0.016 , 34.284 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4125 , 837 , 0.683933 , 514 , 0.053915 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688 , 3.13952 , 0.016 , 21.345 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 3980 , 797 , 0.631272 , 508 , 0.054392 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
