Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI3 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 853.324 , 4.44296 , 60.115 , 388.716 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 36039 , 7035 , 9.17044 , 133 , 0.043358 , 0 , 0 , 0 , 6104 , 2.11417 , 240 , 1.08228 , 1
SRI3+FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 853.232 , 4.45329 , 60.048 , 134.101 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 11274 , 5178 , 4.17811 , 114 , 0.021843 , 0 , 0 , 0 , 5874 , 1.97748 , 215 , 1.79546 , 1
SRI3 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.109 , 1.3157 , 60.057 , 61.053 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 225 , 3269 , 4.38216 , 9 , 0.00159 , 0 , 0 , 0 , 5608 , 6.0919 , 62 , 0.013182 , 1
SRI3+FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.11 , 1.31567 , 60.057 , 60.935 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 227 , 3353 , 4.39849 , 25 , 0.003428 , 0 , 0 , 0 , 5612 , 6.13391 , 76 , 0.032449 , 1
SRI3 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 800.999 , 5.32939 , 60.104 , 336.564 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 19466 , 8893 , 6.48023 , 334 , 0.079705 , 0 , 0 , 0 , 7665 , 1.02 , 474 , 0.75195 , 1
SRI3+FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 800.99 , 5.33045 , 60.059 , 396.512 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 21293 , 9631 , 6.56457 , 372 , 0.123757 , 0 , 0 , 0 , 7642 , 1.02089 , 599 , 3.99446 , 1
SRI3 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.658 , 0.959584 , 66.434 , 66.886 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 10 , 2235 , 2.96518 , 3 , 0.000584 , 0 , 0 , 0 , 3670 , 34.4926 , 71 , 0.00499 , 1
SRI3+FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.658 , 0.959584 , 65.648 , 66.094 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 10 , 2235 , 2.93164 , 3 , 0.000615 , 0 , 0 , 0 , 3670 , 34.4891 , 71 , 0.008379 , 1
SRI3 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.372 , 5.56321 , 60.052 , 1000.17 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 842.431 , 4.07631 , 21291 , 14450 , 10.8816 , 523 , 0.084154 , 0 , 0 , 0 , 6768 , 1.44892 , 724 , 1.41011 , 0
SRI3+FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.298 , 5.57169 , 60.066 , 1000.15 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 842.96 , 4.01604 , 28194 , 13848 , 13.1824 , 346 , 0.06004 , 0 , 0 , 0 , 6678 , 1.37783 , 552 , 8.20027 , 0
SRI3 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 800.427 , 3.55251 , 60.078 , 610.627 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 23990 , 10104 , 8.99913 , 199 , 0.033209 , 0 , 0 , 0 , 5343 , 1.17054 , 281 , 1.16622 , 1
SRI3+FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 800.411 , 3.55446 , 60.058 , 327.506 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 19651 , 8744 , 7.45891 , 93 , 0.026098 , 0 , 0 , 0 , 5329 , 1.16338 , 166 , 4.19081 , 1
SRI3 , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 681.299 , 6.6291 , 60.107 , 1000.11 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 720.672 , 1.23309 , 33846 , 17054 , 11.7804 , 516 , 0.099624 , 0 , 0 , 0 , 10259 , 0.975965 , 662 , 1.82664 , 0
