Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI3 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 841.63 , 726.907 , 13.6311 , 60.379 , 1000.14 , 6 , 659 , 182.63 , 182.49 , 182.63 , 841.63 , 793.749 , 5.68902 , 88082 , 1891 , 14.881 , 2269 , 0.578604 , 0 , 0 , 0 , 2792 , 0.193477 , 1857 , 4.65429 , 0
SRI3+FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 841.63 , 727.157 , 13.6014 , 60.091 , 1000.21 , 6 , 659 , 182.63 , 182.49 , 182.63 , 841.63 , 798.2 , 5.16018 , 89195 , 1824 , 14.7618 , 2116 , 0.621216 , 0 , 0 , 0 , 2720 , 0.190324 , 2576 , 25.5644 , 0
SRI3 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 729.135 , 9.50848 , 60.046 , 877.112 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 164681 , 1615 , 25.8863 , 797 , 0.198934 , 0 , 0 , 0 , 3372 , 0.191505 , 1043 , 6.57973 , 1
SRI3+FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 733.206 , 9.0033 , 60.148 , 271.737 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 52622 , 711 , 4.78633 , 689 , 0.206587 , 0 , 0 , 0 , 3208 , 0.182998 , 770 , 9.79601 , 1
SRI3 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 869.49 , 721.249 , 17.0492 , 60.071 , 1000.17 , 6 , 587 , 282.49 , 270.25 , 282.49 , 869.49 , 778.532 , 10.4611 , 79303 , 2850 , 12.9093 , 5826 , 1.52123 , 0 , 0 , 0 , 2441 , 0.165916 , 3735 , 5.06989 , 0
SRI3+FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 859.84 , 721.205 , 16.1233 , 60.17 , 1000.15 , 6 , 586 , 273.84 , 265.38 , 273.84 , 859.84 , 780.172 , 9.26549 , 84034 , 2831 , 13.9141 , 4197 , 1.1414 , 0 , 0 , 0 , 2391 , 0.163011 , 3908 , 29.6664 , 0
SRI3 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 732.447 , 7.13939 , 60.191 , 946.297 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 171485 , 1027 , 25.5523 , 729 , 0.180417 , 0 , 0 , 0 , 2233 , 0.151642 , 934 , 6.94721 , 1
SRI3+FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 733.094 , 7.05737 , 60.155 , 247.229 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 56885 , 663 , 7.59012 , 311 , 0.123711 , 0 , 0 , 0 , 2339 , 0.157315 , 694 , 12.36 , 1
SRI3 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 910.06 , 734.2 , 19.324 , 60.261 , 1000.18 , 6 , 691 , 219.06 , 198.83 , 219.06 , 910.06 , 777.566 , 14.5588 , 62745 , 2462 , 12.3116 , 4877 , 1.30397 , 0 , 0 , 0 , 2185 , 0.186623 , 3742 , 4.69963 , 0
SRI3+FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 877.14 , 748.128 , 14.7082 , 60.184 , 1000.16 , 6 , 714 , 163.14 , 141.72 , 163.14 , 877.14 , 786.866 , 10.2919 , 71726 , 2158 , 15.0532 , 2425 , 0.634402 , 0 , 0 , 0 , 2257 , 0.190298 , 4721 , 29.198 , 0
