Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 868.09 , 586.31 , 32.4598 , 0.015 , 1800.12 , 6 , 530 , 338.09 , 315.94 , 338.09 , 868.09 , 627.98 , 27.6596 , 54919 , 1956 , 12.2575 , 10755 , 4.8737 , 9041 , 2.22617 , 0 , 0 , 0 , 0 , 0
ILS+SRI2 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 841.63 , 749.83 , 10.9074 , 60.319 , 1800.07 , 6 , 659 , 182.63 , 182.49 , 182.63 , 841.63 , 795.26 , 5.50955 , 135104 , 2177 , 24.2499 , 3297 , 4.28748 , 0 , 0 , 2662 , 0.292845 , 2492 , 7.61521 , 0
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 855.18 , 744.03 , 12.9973 , 60.347 , 1800.09 , 6 , 720 , 135.18 , 135.18 , 135.18 , 855.18 , 798.19 , 6.66409 , 160098 , 2264 , 29.6516 , 3365 , 128.797 , 0 , 0 , 2581 , 0.284915 , 2242 , 9.16264 , 0
ILS+SRI2 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 753.2 , 6.52187 , 60.286 , 320.424 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 64806 , 574 , 7.91112 , 505 , 1.34655 , 0 , 0 , 2519 , 0.286037 , 587 , 3.23679 , 1
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 755.02 , 6.296 , 60.32 , 1017.83 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 187196 , 887 , 24.5838 , 897 , 100.402 , 0 , 0 , 2495 , 0.286598 , 629 , 7.63689 , 1
ILS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 893.68 , 558.75 , 37.4776 , 0.012 , 1800.06 , 6 , 565 , 328.68 , 310.5 , 328.68 , 893.68 , 602.89 , 32.5385 , 49113 , 1851 , 13.4276 , 11460 , 5.08364 , 9576 , 2.35596 , 0 , 0 , 0 , 0 , 0
ILS+SRI2 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 865.25 , 733.72 , 15.2014 , 60.189 , 1800.09 , 6 , 664 , 201.25 , 191.69 , 201.25 , 865.25 , 775.66 , 10.3542 , 93678 , 1845 , 17.0773 , 8239 , 5.72277 , 0 , 0 , 2677 , 0.189738 , 3504 , 7.05594 , 0
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 857.68 , 736.24 , 14.1591 , 60.122 , 1800.07 , 6 , 638 , 219.68 , 201.6 , 219.68 , 857.68 , 773.82 , 9.77754 , 105147 , 1795 , 20.7526 , 7571 , 176.475 , 0 , 0 , 2557 , 0.182348 , 3073 , 8.08203 , 0
ILS+SRI2 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 740.77 , 6.08423 , 60.179 , 181.518 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 37608 , 325 , 5.30758 , 269 , 0.758904 , 0 , 0 , 2790 , 0.193766 , 556 , 2.46151 , 1
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 741.25 , 6.02338 , 60.122 , 174.272 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 44196 , 250 , 5.89504 , 295 , 10.2388 , 0 , 0 , 2800 , 0.194003 , 400 , 2.70969 , 1
ILS+SRI2 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 885.02 , 749.61 , 15.3002 , 60.097 , 1800.07 , 6 , 663 , 222.02 , 221.04 , 222.02 , 885.02 , 786.46 , 11.1364 , 71375 , 2452 , 18.376 , 6105 , 4.62066 , 0 , 0 , 786 , 0.281641 , 4240 , 6.86453 , 0
ILS , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 870.78 , 579 , 33.5079 , 0.012 , 1800.1 , 5 , 562 , 308.78 , 288.05 , 308.78 , 870.78 , 605.95 , 30.413 , 28321 , 1268 , 6.33755 , 13086 , 5.02489 , 9970 , 1.70069 , 0 , 0 , 0 , 0 , 0
ILS+SRI2 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 825.32 , 768.73 , 6.85673 , 60.276 , 1800.1 , 5 , 575 , 250.32 , 245 , 250.32 , 825.32 , 805.96 , 2.34576 , 103417 , 1742 , 26.82 , 2261 , 3.8558 , 0 , 0 , 2583 , 0.292425 , 2396 , 8.24307 , 0
ILS , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 752.84 , 561.15 , 25.4622 , 0.009 , 1800.1 , 6 , 597 , 155.84 , 139.54 , 155.84 , 752.84 , 596.68 , 20.7428 , 51872 , 2483 , 11.2487 , 10159 , 5.35605 , 6885 , 2.93189 , 0 , 0 , 0 , 0 , 0
