Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682 , 0.864888 , 0.037 , 2.222 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 597 , 97 , 0.068144 , 100 , 0.140225 , 52 , 0.127665 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682.85 , 0.741333 , 60.164 , 61.351 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 290 , 76 , 0.941982 , 26 , 0.054522 , 0 , 0 , 806 , 49.0622 , 63 , 0.357486 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682.95 , 0.726797 , 60.095 , 62.016 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 228 , 58 , 0.93755 , 33 , 1.04814 , 0 , 0 , 806 , 49.7103 , 55 , 0.266027 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 642.64 , 1.50054 , 0.035 , 4.853 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1620 , 138 , 0.200307 , 275 , 0.278302 , 105 , 0.325956 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.78 , 1.17254 , 60.27 , 64.078 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1165 , 88 , 0.374106 , 108 , 0.259947 , 0 , 0 , 1501 , 0.563317 , 121 , 1.41543 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.42 , 1.22772 , 60.067 , 69.772 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 819 , 73 , 0.310568 , 75 , 6.73946 , 0 , 0 , 1483 , 0.533567 , 93 , 1.00309 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 692.93 , 2.44545 , 0.032 , 28.362 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 8154 , 329 , 1.31903 , 439 , 1.01363 , 231 , 1.52305 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.58 , 2.35391 , 37.12 , 55.513 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4185 , 199 , 0.872344 , 234 , 0.368017 , 0 , 0 , 109 , 36.3258 , 339 , 4.90503 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.58 , 2.35391 , 37.831 , 80.662 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 5020 , 188 , 0.934454 , 286 , 22.1918 , 0 , 0 , 109 , 37.0045 , 277 , 5.64609 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 703.89 , 1.48907 , 0.039 , 11.616 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 3280 , 209 , 0.49013 , 475 , 0.620091 , 197 , 0.787087 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 708.38 , 0.860706 , 60.17 , 63.771 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 864 , 89 , 0.499451 , 79 , 0.182653 , 0 , 0 , 1142 , 0.651696 , 99 , 1.16539 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 708.26 , 0.8775 , 60.127 , 65.684 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 350 , 91 , 0.412164 , 57 , 4.04103 , 0 , 0 , 1156 , 0.667631 , 67 , 0.446019 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 712.03 , 2.19099 , 0.02 , 14.846 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 4552 , 210 , 0.340818 , 819 , 0.890447 , 93 , 0.89751 , 0 , 0 , 0 , 0 , 1
