Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 832.124 , 6.81705 , 0.057 , 722.431 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 53877 , 5492 , 11.1108 , 414 , 1.93656 , 379 , 1.08385 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.458 , 4.31604 , 60.067 , 182.536 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 4.97775e-05 , 13651 , 2758 , 5.34692 , 270 , 1.00105 , 0 , 0 , 4417 , 2.75085 , 383 , 0.496453 , 1
SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.859 , 4.27115 , 60.074 , 106.605 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 6881 , 1949 , 3.89624 , 136 , 0.48757 , 0 , 0 , 4416 , 2.76334 , 247 , 0.231942 , 1
ILS , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 787.037 , 2.62941 , 0.051 , 6.693 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 798 , 766 , 0.169627 , 55 , 0.129189 , 49 , 0.011793 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 800.471 , 0.967365 , 60.111 , 61.115 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 69 , 342 , 3.62824 , 5 , 0.008036 , 0 , 0 , 4116 , 14.9993 , 62 , 0.006551 , 1
SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 800.157 , 1.00619 , 60.066 , 60.948 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 55 , 350 , 3.63961 , 5 , 0.009009 , 0 , 0 , 4116 , 15.0436 , 62 , 0.006447 , 1
ILS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 845.53 , 788.069 , 6.79586 , 0.065 , 1800.05 , 6 , 829 , 16.53 , 16.53 , 17.09 , 845.53 , 836.012 , 1.12571 , 63699 , 8293 , 19.6489 , 512 , 4.06652 , 590 , 1.64711 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 845.53 , 803.027 , 5.02673 , 60.064 , 959.277 , 6 , 829 , 16.53 , 16.53 , 17.09 , 845.53 , 845.529 , 9.67336e-05 , 38156 , 6155 , 13.147 , 530 , 3.29542 , 0 , 0 , 4253 , 1.20648 , 724 , 1.57842 , 1
SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 845.53 , 803.212 , 5.00488 , 60.112 , 857.091 , 6 , 829 , 16.53 , 16.53 , 17.09 , 845.53 , 845.53 , 0 , 37897 , 5574 , 12.3711 , 389 , 4.36335 , 0 , 0 , 4220 , 1.19427 , 572 , 1.46976 , 1
ILS , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 790.715 , 0.448846 , 0.063 , 1.436 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 9 , 292 , 0.039575 , 5 , 0.005905 , 15 , 0.002625 , 0 , 0 , 0 , 0 , 1
