Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 683.986 , 0.537123 , 0.053 , 1.008 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.68 , 0 , 85 , 144 , 0.03166 , 28 , 0.096881 , 14 , 0.016447 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 684.003 , 0.534717 , 50.995 , 51.723 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.68 , 0 , 33 , 118 , 0.691805 , 19 , 0.045757 , 0 , 0 , 188 , 49.9559 , 27 , 0.024463 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 683.988 , 0.53692 , 53.983 , 54.687 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.68 , 0 , 37 , 131 , 0.760114 , 16 , 0.052219 , 0 , 0 , 188 , 52.7311 , 24 , 0.025576 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 645.926 , 0.94374 , 0.041 , 1.179 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.08 , 0 , 249 , 191 , 0.052679 , 52 , 0.112611 , 20 , 0.041144 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 647.012 , 0.77725 , 60.069 , 62.016 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.08 , 0 , 159 , 187 , 1.64484 , 27 , 0.077448 , 0 , 0 , 173 , 59.2116 , 33 , 0.07362 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 647.329 , 0.728578 , 60.204 , 64.123 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.08 , 0 , 310 , 347 , 1.72027 , 39 , 0.133068 , 0 , 0 , 173 , 59.2232 , 53 , 0.140352 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 691.993 , 2.48946 , 0.023 , 14.735 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.66 , 0 , 1746 , 627 , 0.363141 , 72 , 0.261079 , 62 , 0.31229 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 693.313 , 2.30345 , 35.709 , 56.859 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.66 , 0 , 2896 , 920 , 0.659328 , 118 , 0.445119 , 0 , 0 , 12 , 35.4933 , 100 , 1.04216 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 693.313 , 2.30345 , 33.434 , 60.225 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.66 , 0 , 2496 , 898 , 0.706894 , 98 , 0.44202 , 0 , 0 , 12 , 33.2456 , 102 , 0.894808 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.22 , 707.893 , 0.885858 , 0.053 , 1.02 , 2 , 710 , 4.22 , 4.22 , 4.77 , 714.22 , 714.22 , 0 , 112 , 168 , 0.047748 , 11 , 0.033274 , 18 , 0.026107 , 0 , 0 , 0 , 0 , 1
