Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 717.25 , 596.59 , 16.8226 , 0.013 , 1800.11 , 3 , 677 , 40.25 , 40.25 , 44.19 , 717.25 , 625.418 , 12.8034 , 23817 , 988 , 4.54626 , 11284 , 401.348 , 4642 , 4.11363 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 639.821 , 3.95094 , 60.175 , 241.753 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.079 , 0.00917494 , 24290 , 443 , 5.02235 , 768 , 17.6951 , 0 , 0 , 3025 , 0.364663 , 555 , 5.00471 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 638.147 , 4.20227 , 60.036 , 246.27 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.076 , 0.00967249 , 28168 , 456 , 6.86833 , 215 , 9.67191 , 0 , 0 , 2739 , 0.34425 , 317 , 5.83018 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 662.08 , 608.926 , 8.02827 , 0.109 , 1800.11 , 3 , 627 , 35.08 , 35.08 , 48.43 , 662.08 , 628.227 , 5.11314 , 36813 , 796 , 7.2953 , 9344 , 316.341 , 5458 , 6.20358 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 656.95 , 634.703 , 3.38639 , 60.091 , 109.607 , 3 , 626 , 30.95 , 30.95 , 43.48 , 656.95 , 656.892 , 0.00880204 , 10223 , 246 , 1.39219 , 468 , 11.0214 , 0 , 0 , 2450 , 0.386912 , 387 , 2.08184 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 656.95 , 637.322 , 2.98771 , 60.136 , 88.823 , 3 , 626 , 30.95 , 30.95 , 43.48 , 656.95 , 656.929 , 0.00326172 , 7660 , 203 , 0.956952 , 163 , 4.46176 , 0 , 0 , 2490 , 0.374348 , 196 , 1.49273 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 659.9 , 597.179 , 9.50468 , 0.183 , 1800.11 , 3 , 604 , 55.9 , 55.9 , 70.51 , 659.9 , 634 , 3.92484 , 41937 , 686 , 9.74706 , 6783 , 181.585 , 5278 , 6.79054 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 657.81 , 642.212 , 2.37121 , 60.156 , 73.94 , 3 , 605 , 52.81 , 52.81 , 84.1 , 657.81 , 657.75 , 0.00914291 , 4435 , 144 , 0.76581 , 221 , 3.31983 , 0 , 0 , 2811 , 0.512558 , 209 , 0.973381 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 657.81 , 642.14 , 2.38213 , 60.039 , 75.669 , 3 , 605 , 52.81 , 52.81 , 84.1 , 657.81 , 657.745 , 0.00986105 , 7357 , 170 , 1.07582 , 114 , 1.84861 , 0 , 0 , 2921 , 0.520736 , 175 , 1.53009 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 622.06 , 7.37911 , 0.02 , 1401.29 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.56 , 0.00893362 , 50213 , 599 , 9.29173 , 5778 , 195.413 , 4128 , 6.2846 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 664.81 , 1.01389 , 60.197 , 62.04 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.62 , 0 , 209 , 60 , 0.215075 , 35 , 1.02022 , 0 , 0 , 3427 , 0.324567 , 60 , 0.052918 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 671.62 , 665.781 , 0.869374 , 60.074 , 60.93 , 3 , 634 , 37.62 , 37.62 , 76.34 , 671.62 , 671.6 , 0.00297773 , 152 , 62 , 0.203047 , 9 , 0.286864 , 0 , 0 , 3367 , 0.321809 , 40 , 0.039905 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 668.09 , 607.501 , 9.06897 , 0.019 , 1800.12 , 3 , 610 , 58.09 , 58.09 , 64.9 , 668.09 , 639.391 , 4.29571 , 36297 , 782 , 8.83769 , 7005 , 183.518 , 5569 , 6.06204 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 649.494 , 2.40211 , 60.217 , 79.712 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.419 , 0.00911485 , 6109 , 174 , 1.12024 , 232 , 4.76156 , 0 , 0 , 2822 , 0.386573 , 169 , 1.26742 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 648.765 , 2.51169 , 60.182 , 75.783 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.42 , 0.00901576 , 9208 , 194 , 1.41916 , 58 , 1.17339 , 0 , 0 , 2804 , 0.376995 , 157 , 1.85143 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 691.879 , 5.07388 , 0.031 , 1800.04 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 723.75 , 0.701095 , 73515 , 386 , 13.9544 , 6870 , 111.506 , 6861 , 9.54042 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 724.954 , 0.535875 , 60.064 , 60.641 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 0 , 62 , 47 , 0.153001 , 6 , 0.101941 , 0 , 0 , 2587 , 0.400513 , 37 , 0.021527 , 1
SRI* , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 725.179 , 0.50498 , 60.268 , 60.986 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 0 , 61 , 53 , 0.15834 , 6 , 0.088042 , 0 , 0 , 2627 , 0.396853 , 36 , 0.024671 , 1
