Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
Parada , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 688.742 , 683.311 , 0.788503 , 0.052 , 2.294 , 2 , 687.347 , 1.3952 , 1.3952 , 1.44955 , 688.742 , 688.742 , 0 , 406 , 419 , 0.264971 , 0 , 0 , 77 , 0.286679 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 688.742 , 684.124 , 0.67056 , 0.289 , 0.744 , 2 , 687.347 , 1.3952 , 1.3952 , 1.44955 , 688.742 , 688.742 , 0 , 114 , 176 , 0.12582 , 0 , 0 , 15 , 0.100845 , 37 , 0.059743 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 688.742 , 684.124 , 0.670596 , 0.274 , 0.604 , 2 , 687.347 , 1.3952 , 1.3952 , 1.44955 , 688.742 , 688.742 , 0 , 75 , 150 , 0.104215 , 0 , 0 , 9 , 0.081194 , 37 , 0.054753 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 657.624 , 647.47 , 1.54399 , 0.028 , 12.134 , 2 , 654.876 , 2.74801 , 2.74801 , 3.39302 , 657.624 , 657.624 , 0 , 1671 , 618 , 0.880693 , 0 , 0 , 318 , 2.89771 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 657.624 , 648.683 , 1.35962 , 0.219 , 10.807 , 2 , 654.876 , 2.74801 , 2.74801 , 3.39302 , 657.624 , 657.624 , 0 , 1164 , 594 , 0.659474 , 0 , 0 , 216 , 1.91947 , 32 , 0.040851 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 657.624 , 649.893 , 1.17564 , 0.27 , 4.607 , 2 , 654.876 , 2.74801 , 2.74801 , 3.39302 , 657.624 , 657.624 , 0 , 861 , 503 , 0.437656 , 0 , 0 , 161 , 1.23207 , 32 , 0.050067 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 712.691 , 694.326 , 2.57691 , 0.022 , 15.821 , 2 , 711.166 , 1.52531 , 1.52531 , 1.73738 , 712.691 , 712.691 , 0 , 2520 , 824 , 1.55513 , 0 , 0 , 146 , 1.1169 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 712.691 , 694.326 , 2.57691 , 0.072 , 15.806 , 2 , 711.166 , 1.52531 , 1.52531 , 1.73738 , 712.691 , 712.691 , 0 , 2520 , 824 , 1.51718 , 0 , 0 , 146 , 1.11543 , 0 , 0.017304 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 712.691 , 694.326 , 2.57691 , 0.058 , 15.856 , 2 , 711.166 , 1.52531 , 1.52531 , 1.73738 , 712.691 , 712.691 , 0 , 2520 , 824 , 1.50367 , 0 , 0 , 146 , 1.11289 , 0 , 0.013583 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.221 , 702.65 , 1.62007 , 0.041 , 4.743 , 2 , 711.028 , 3.19289 , 3.19289 , 3.22249 , 714.221 , 714.221 , 0 , 873 , 350 , 0.482381 , 0 , 0 , 55 , 0.545627 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.221 , 705.554 , 1.2135 , 0.201 , 1.788 , 2 , 711.028 , 3.19289 , 3.19289 , 3.22249 , 714.221 , 714.221 , 0 , 580 , 265 , 0.267971 , 0 , 0 , 35 , 0.309931 , 20 , 0.038388 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.221 , 705.378 , 1.23819 , 0.21 , 0.958 , 2 , 711.028 , 3.19289 , 3.19289 , 3.22249 , 714.221 , 714.221 , 0 , 224 , 200 , 0.12768 , 0 , 0 , 37 , 0.134413 , 20 , 0.038295 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 733.206 , 721.516 , 1.59434 , 0.055 , 1.24 , 2 , 730.041 , 3.1649 , 3.1649 , 3.41837 , 733.206 , 733.206 , 0 , 376 , 237 , 0.149023 , 0 , 0 , 57 , 0.232075 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 733.206 , 723.019 , 1.38937 , 0.153 , 1.798 , 2 , 730.041 , 3.1649 , 3.1649 , 3.41837 , 733.206 , 733.206 , 0 , 369 , 292 , 0.166337 , 0 , 0 , 57 , 0.313588 , 10 , 0.021906 , 0 , 0 , 1
