Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 699.429 , 4.08275 , 0.054 , 21.217 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 4856 , 1171 , 1.55009 , 0 , 0 , 47 , 109 , 0.636186 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 708.001 , 2.90721 , 5.376 , 16.506 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1742 , 838 , 1.43042 , 0 , 0 , 17 , 0 , 0.406978 , 807 , 1.84175 , 73 , 0.417873 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 715.856 , 1.82999 , 5.544 , 8.365 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 892 , 446 , 1.05695 , 0 , 0 , 4 , 0 , 0.1075 , 807 , 1.84636 , 33 , 0.099457 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 716.107 , 1.79554 , 17.719 , 24.033 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1435 , 628 , 2.17072 , 0 , 0 , 4 , 0 , 0.212427 , 857 , 12.5925 , 51 , 0.214645 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.76 , 628 , 4.95793 , 0.023 , 7.098 , 4 , 646 , 14.76 , 14.76 , 14.84 , 660.76 , 660.76 , 0 , 2836 , 689 , 0.842243 , 0 , 0 , 25 , 120 , 0.37011 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.76 , 640.953 , 2.99755 , 1.891 , 9.687 , 4 , 646 , 14.76 , 14.76 , 14.84 , 660.76 , 660.76 , 0 , 1696 , 542 , 0.890451 , 0 , 0 , 19 , 0 , 0.247726 , 597 , 0.515891 , 106 , 0.26066 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.76 , 647.74 , 1.97046 , 1.949 , 7.587 , 4 , 646 , 14.76 , 14.76 , 14.84 , 660.76 , 660.76 , 0 , 1321 , 604 , 0.759847 , 0 , 0 , 20 , 0 , 0.194559 , 597 , 0.519854 , 113 , 0.214595 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.76 , 648.087 , 1.91799 , 9.85 , 13.949 , 4 , 646 , 14.76 , 14.76 , 14.84 , 660.76 , 660.76 , 0 , 1630 , 466 , 1.32397 , 0 , 0 , 5 , 0 , 0.172082 , 644 , 7.67268 , 61 , 0.194037 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 685.72 , 670.803 , 2.17531 , 0.02 , 0.425 , 4 , 666 , 19.72 , 19.72 , 21.16 , 685.72 , 685.72 , 0 , 371 , 78 , 0.047991 , 0 , 0 , 58 , 20 , 0.124215 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 685.72 , 681.305 , 0.643808 , 0.165 , 0.238 , 4 , 666 , 19.72 , 19.72 , 21.16 , 685.72 , 685.72 , 0 , 1 , 57 , 0.042881 , 0 , 0 , 1 , 0 , 0.005109 , 66 , 0.043123 , 0 , 0.004451 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 685.72 , 684.97 , 0.109374 , 0.161 , 0.272 , 4 , 666 , 19.72 , 19.72 , 21.16 , 685.72 , 685.72 , 0 , 1 , 55 , 0.042354 , 0 , 0 , 2 , 0 , 0.01156 , 66 , 0.043206 , 3 , 0.007168 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 685.72 , 685 , 0.104999 , 1.762 , 1.859 , 4 , 666 , 19.72 , 19.72 , 21.16 , 685.72 , 685.72 , 0 , 1 , 54 , 0.049524 , 0 , 0 , 3 , 0 , 0.01215 , 67 , 1.60826 , 3 , 0.006771 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 588.333 , 0.873882 , 0.02 , 0.145 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 1 , 92 , 0.012015 , 0 , 0 , 5 , 8 , 0.013813 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 593.012 , 0.0856641 , 0.189 , 0.265 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 1.50454e-08 , 1 , 79 , 0.027411 , 0 , 0 , 1 , 0 , 0.004056 , 74 , 0.034406 , 0 , 0.002345 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 593.52 , 1.91547e-14 , 0.185 , 0.217 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 1 , 77 , 0.025604 , 0 , 0 , 0 , 0 , 0.000791 , 74 , 0.034209 , 0 , 0.000636 , 1 , 0
