Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.042 , 0.981 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 112 , 142 , 0.066503 , 41 , 0.039826 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 680.75 , 0.828914 , 0.042 , 2.445 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 370 , 371 , 0.169721 , 11 , 0.053563 , 2 , 39 , 0.189427 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.44 , 681.39 , 0.73568 , 0.304 , 2.537 , 2 , 685 , 1.44 , 1.36 , 1.44 , 686.44 , 686.44 , 0 , 330 , 348 , 0.228134 , 4 , 0.041571 , 8 , 0 , 0.135545 , 44 , 0.059196 , 34 , 0.146528 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641 , 2.35208 , 0.035 , 19.04 , 2 , 653 , 3.44 , 2.8 , 3.44 , 656.44 , 656.44 , 0 , 4953 , 738 , 0.80691 , 1211 , 1.09485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 641.48 , 2.27896 , 0.04 , 4.884 , 2 , 653 , 3.44 , 2.8 , 3.44 , 656.44 , 656.44 , 0 , 1765 , 467 , 0.437919 , 152 , 0.234907 , 36 , 68 , 1.82837 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 656.44 , 646.78 , 1.47157 , 0.316 , 5.349 , 2 , 653 , 3.44 , 2.8 , 3.44 , 656.44 , 656.44 , 0 , 1648 , 400 , 0.487618 , 32 , 0.177854 , 21 , 0 , 1.78919 , 69 , 0.058968 , 49 , 1.81944 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.018 , 23.676 , 2 , 707 , 1.76 , 1.52 , 1.76 , 708.76 , 708.76 , 0 , 3541 , 901 , 1.0203 , 382 , 0.632419 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.019 , 28.008 , 2 , 707 , 1.76 , 1.52 , 1.76 , 708.76 , 708.76 , 0 , 3408 , 1131 , 1.16254 , 24 , 0.39387 , 19 , 106 , 1.20584 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.76 , 688 , 2.92906 , 0.142 , 40.194 , 2 , 707 , 1.76 , 1.52 , 1.76 , 708.76 , 708.76 , 0 , 4874 , 1293 , 1.74372 , 36 , 0.679671 , 54 , 0 , 1.97964 , 0 , 0.012734 , 165 , 2.00203 , 1 , 0
PR , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 713.24 , 701 , 1.71611 , 0.026 , 3.323 , 2 , 710 , 3.24 , 3.2 , 3.24 , 713.24 , 713.24 , 0 , 774 , 378 , 0.230061 , 100 , 0.1669 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
