Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.36 , 680.75 , 0.817355 , 0.046 , 1.828 , 2 , 685 , 1.36 , 1.36 , 1.44 , 686.36 , 686.36 , 0 , 323 , 367 , 0.155702 , 0 , 0 , 2 , 39 , 0.141721 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 686.36 , 681.39 , 0.72411 , 0.305 , 2.468 , 2 , 685 , 1.36 , 1.36 , 1.44 , 686.36 , 686.36 , 0 , 312 , 349 , 0.212038 , 0 , 0 , 9 , 0 , 0.127491 , 44 , 0.059326 , 22 , 0.136531 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 655.8 , 641.48 , 2.18359 , 0.039 , 3.897 , 2 , 653 , 2.8 , 2.8 , 3.44 , 655.8 , 655.8 , 0 , 1442 , 408 , 0.38754 , 0 , 0 , 59 , 66 , 1.62162 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 655.8 , 646.78 , 1.37542 , 0.307 , 2.504 , 2 , 653 , 2.8 , 2.8 , 3.44 , 655.8 , 655.8 , 0 , 763 , 342 , 0.249976 , 0 , 0 , 10 , 0 , 0.721875 , 69 , 0.058457 , 42 , 0.743716 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.52 , 688 , 2.89618 , 0.018 , 11.692 , 2 , 707 , 1.52 , 1.52 , 1.76 , 708.52 , 708.52 , 0 , 2168 , 732 , 0.828682 , 0 , 0 , 18 , 60 , 0.740957 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 708.52 , 688 , 2.89618 , 0.141 , 23.899 , 2 , 707 , 1.52 , 1.52 , 1.76 , 708.52 , 708.52 , 0 , 4514 , 983 , 1.79011 , 0 , 0 , 28 , 0 , 1.47299 , 0 , 0.012758 , 95 , 1.5885 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 713.12 , 701 , 1.69957 , 0.027 , 2.369 , 2 , 710 , 3.12 , 3.12 , 3.6 , 713.12 , 713.12 , 0 , 656 , 339 , 0.223407 , 0 , 0 , 6 , 35 , 0.291823 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 713.12 , 704.089 , 1.26647 , 0.374 , 1.045 , 2 , 710 , 3.12 , 3.12 , 3.6 , 713.12 , 713.12 , 0 , 49 , 159 , 0.121711 , 0 , 0 , 0 , 0 , 0.028611 , 57 , 0.06402 , 7 , 0.031782 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.16 , 715 , 1.67226 , 0.028 , 5.884 , 2 , 724 , 3.16 , 3.16 , 3.4 , 727.16 , 727.16 , 0 , 732 , 415 , 0.272618 , 0 , 0 , 10 , 53 , 0.355989 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.16 , 717.702 , 1.30063 , 0.277 , 1.42 , 2 , 724 , 3.16 , 3.16 , 3.4 , 727.16 , 727.16 , 0 , 344 , 231 , 0.169144 , 0 , 0 , 11 , 0 , 0.127223 , 10 , 0.03768 , 32 , 0.140841 , 1 , 0
