Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 874.82 , 525.5 , 39.9305 , 0.015 , 1000.13 , 6 , 537 , 337.82 , 315.67 , 337.82 , 874.82 , 625.059 , 28.55 , 47095 , 3076 , 10.169 , 5408 , 1.02386 , 0 , 6585 , 1.83955 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 864.46 , 724.275 , 16.2164 , 60.031 , 1000.12 , 6 , 647 , 217.46 , 211.56 , 217.46 , 864.46 , 787.944 , 8.85134 , 94215 , 2063 , 14.8698 , 3623 , 0.946045 , 0 , 0 , 0 , 2885 , 0.31464 , 2796 , 4.88869 , 0
SRI2 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 880.8 , 724.277 , 17.7705 , 60.231 , 1000.16 , 6 , 546 , 334.8 , 320.1 , 334.8 , 880.8 , 788.961 , 10.4267 , 97185 , 2138 , 15.6762 , 3300 , 29.2406 , 0 , 0 , 0 , 2902 , 0.288683 , 2786 , 5.05761 , 0
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 841.63 , 725.554 , 13.7918 , 60.121 , 1000.14 , 6 , 659 , 182.63 , 182.49 , 182.63 , 841.63 , 796.678 , 5.34105 , 118209 , 1309 , 19.3828 , 1152 , 10.3654 , 0 , 0 , 0 , 2894 , 0.287906 , 2454 , 33.1643 , 0
ILS , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 852.78 , 533.592 , 37.4291 , 0.017 , 1000.08 , 5 , 515 , 337.78 , 306.51 , 337.78 , 852.78 , 620.876 , 27.1939 , 29954 , 1830 , 5.71843 , 7552 , 1.20324 , 0 , 8353 , 1.24822 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 806.62 , 742.983 , 7.88933 , 60.142 , 1000.14 , 5 , 681 , 125.62 , 125.42 , 125.62 , 806.62 , 795.884 , 1.331 , 147206 , 1196 , 21.7597 , 982 , 0.243451 , 0 , 0 , 0 , 2803 , 0.282936 , 1290 , 6.18379 , 0
SRI2 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 742.983 , 7.78988 , 60.079 , 1000.08 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 790.033 , 1.95064 , 147507 , 1225 , 22.4026 , 975 , 9.34073 , 0 , 0 , 0 , 2803 , 0.278598 , 1069 , 6.03584 , 0
ILS+SRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 746.575 , 7.34412 , 60.149 , 435.074 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 91979 , 672 , 9.79848 , 848 , 9.29133 , 0 , 0 , 0 , 2803 , 0.282443 , 984 , 17.1859 , 1
ILS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 892.67 , 531.867 , 40.4184 , 0.011 , 1000.13 , 6 , 530 , 362.67 , 343.61 , 362.67 , 892.67 , 600.843 , 32.6915 , 34999 , 2376 , 8.85632 , 6669 , 1.29945 , 0 , 7902 , 1.63194 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 859.86 , 724.467 , 15.746 , 60.108 , 1000.15 , 6 , 565 , 294.86 , 273.68 , 294.86 , 859.86 , 772.168 , 10.1984 , 84568 , 1780 , 12.9746 , 6230 , 1.61347 , 0 , 0 , 0 , 2843 , 0.18424 , 3660 , 5.20815 , 0
SRI2 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 859.92 , 724.515 , 15.7462 , 60.113 , 1000.13 , 6 , 585 , 274.92 , 265.98 , 274.92 , 859.92 , 771.095 , 10.3294 , 98142 , 1846 , 17.4636 , 3657 , 36.9246 , 0 , 0 , 0 , 2873 , 0.18304 , 3181 , 6.1787 , 0
ILS+SRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 864.01 , 725.507 , 16.0302 , 60.258 , 1000.13 , 6 , 548 , 316.01 , 290.79 , 316.01 , 864.01 , 770.179 , 10.8599 , 78011 , 1607 , 14.5842 , 2642 , 27.0373 , 0 , 0 , 0 , 2763 , 0.186148 , 3558 , 28.057 , 0
ILS , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 889.96 , 520.15 , 41.5536 , 0.007 , 1000.09 , 6 , 506 , 383.96 , 376.1 , 383.96 , 889.96 , 589.639 , 33.7455 , 24978 , 1525 , 5.47731 , 8191 , 1.53074 , 0 , 8799 , 1.27365 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 731.761 , 7.22636 , 60.308 , 931.06 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 134548 , 721 , 20.6216 , 843 , 0.226145 , 0 , 0 , 0 , 3139 , 0.212153 , 1268 , 5.247 , 1
