Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 702.67 , 4.05921 , 0.051 , 6.678 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1512 , 750 , 0.268784 , 144 , 0.023002 , 0 , 131 , 0.022648 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 719.26 , 1.7941 , 71.027 , 83.171 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1773 , 949 , 2.50894 , 116 , 0.012404 , 0 , 0 , 0 , 2880 , 27.9892 , 842 , 0.198097 , 1
SRI2 , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 719.26 , 1.7941 , 72.077 , 76.845 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1557 , 708 , 2.42814 , 64 , 0.06435 , 0 , 0 , 0 , 2880 , 27.8727 , 568 , 0.13939 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 719.26 , 1.7941 , 71.725 , 77.673 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 1853 , 705 , 2.50281 , 63 , 0.058837 , 0 , 0 , 0 , 2880 , 28.285 , 565 , 0.527012 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 635.303 , 3.37161 , 0.031 , 3.665 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 1514 , 503 , 0.242137 , 75 , 0.012712 , 0 , 64 , 0.019657 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 647.039 , 1.58652 , 82.271 , 85.28 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 930 , 576 , 2.78918 , 80 , 0.011212 , 0 , 0 , 0 , 3069 , 56.0434 , 539 , 0.090418 , 1
SRI2 , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 647.039 , 1.58652 , 82.721 , 85.593 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 843 , 554 , 2.76164 , 78 , 0.098445 , 0 , 0 , 0 , 3069 , 56.6483 , 518 , 0.080692 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 647.039 , 1.58652 , 82.54 , 87.399 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 1186 , 673 , 2.82999 , 123 , 0.15835 , 0 , 0 , 0 , 3069 , 56.1746 , 658 , 0.363385 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 680.111 , 2.35026 , 0.028 , 2.194 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 1940 , 303 , 0.121608 , 139 , 0.046272 , 0 , 45 , 0.034281 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 693.077 , 0.488648 , 59.335 , 59.695 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 159 , 170 , 1.71776 , 37 , 0.007687 , 0 , 0 , 0 , 3102 , 43.8141 , 106 , 0.015605 , 1
SRI2 , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 693.077 , 0.488648 , 62.629 , 63.187 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 281 , 210 , 1.75482 , 60 , 0.074192 , 0 , 0 , 0 , 3102 , 47.0499 , 142 , 0.029988 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 693.077 , 0.488648 , 59.823 , 60.437 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 281 , 210 , 1.74225 , 60 , 0.073581 , 0 , 0 , 0 , 3102 , 44.0379 , 142 , 0.088339 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 590.133 , 1.10878 , 0.036 , 0.371 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 1 , 151 , 0.007178 , 12 , 0.00168 , 0 , 18 , 0.001953 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 596.66 , 0.0150817 , 18.999 , 19.164 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 6 , 220 , 0.527637 , 12 , 0.003404 , 0 , 0 , 0 , 1916 , 5.87068 , 116 , 0.007669 , 1
SRI2 , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 596.66 , 0.0150817 , 18.873 , 19.141 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 6 , 220 , 0.528845 , 16 , 0.017636 , 0 , 0 , 0 , 1916 , 5.9093 , 116 , 0.009298 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 596.66 , 0.0150817 , 18.927 , 19.14 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 6 , 220 , 0.52952 , 16 , 0.017686 , 0 , 0 , 0 , 1916 , 5.93882 , 116 , 0.019551 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.87 , 702.616 , 0.882249 , 0.045 , 0.5 , 4 , 706 , 2.87 , 2.69 , 2.87 , 708.87 , 708.87 , 0 , 1 , 167 , 0.013866 , 24 , 0.006802 , 0 , 17 , 0.003158 , 0 , 0 , 0 , 0 , 1
