Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.90_1_0-Basic.svrp , 687.95 , 676.451 , 1.67155 , 0.035 , 1.895 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 597 , 115 , 0.074326 , 66 , 0.027287 , 0 , 56 , 0.119958 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_0-Basic.svrp , 687.95 , 681.18 , 0.984113 , 65.886 , 67.161 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 662 , 102 , 1.05502 , 50 , 0.020213 , 0 , 0 , 0 , 756 , 55.4081 , 118 , 0.247309 , 1
SRI2 , ./data/Jabali/k2/60_2_0.90_1_0-Basic.svrp , 687.95 , 681.18 , 0.984113 , 65.774 , 68.311 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 407 , 100 , 1.03892 , 48 , 1.49895 , 0 , 0 , 0 , 756 , 54.9426 , 116 , 0.157014 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_0-Basic.svrp , 687.95 , 681.18 , 0.984113 , 65.645 , 70.029 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 453 , 84 , 1.05373 , 54 , 2.77935 , 0 , 0 , 0 , 756 , 54.7656 , 125 , 0.588735 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_1-Basic.svrp , 652.43 , 638.322 , 2.16237 , 0.034 , 4.777 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1526 , 174 , 0.169486 , 245 , 0.09376 , 0 , 125 , 0.305757 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_1-Basic.svrp , 652.43 , 644.434 , 1.2255 , 60.167 , 62.483 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1056 , 175 , 0.347302 , 107 , 0.036415 , 0 , 0 , 0 , 1507 , 0.573504 , 226 , 0.398026 , 1
SRI2 , ./data/Jabali/k2/60_2_0.90_1_1-Basic.svrp , 652.43 , 644.434 , 1.22565 , 60.184 , 75.027 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1984 , 254 , 0.51774 , 213 , 8.41395 , 0 , 0 , 0 , 1501 , 0.566182 , 330 , 0.897525 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_1-Basic.svrp , 652.43 , 644.424 , 1.22707 , 60.216 , 66.021 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1353 , 127 , 0.411533 , 59 , 2.03458 , 0 , 0 , 0 , 1493 , 0.559239 , 188 , 1.50334 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_2-Basic.svrp , 710.3 , 681.924 , 3.99496 , 0.031 , 56.979 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 10414 , 448 , 1.7208 , 826 , 0.373448 , 0 , 338 , 2.10469 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_2-Basic.svrp , 710.3 , 688.996 , 2.9993 , 37.671 , 61.115 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4059 , 290 , 0.732291 , 343 , 0.135404 , 0 , 0 , 0 , 109 , 36.9268 , 469 , 1.58545 , 1
