Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI-V2 , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 852.848 , 4.49627 , 60.126 , 134.545 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 11884 , 2368 , 3.38681 , 171 , 0.043208 , 0 , 0 , 0 , 2145 , 1.78407 , 295 , 0.241344 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 852.849 , 4.49619 , 60.131 , 930.98 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 59079 , 4426 , 16.5012 , 273 , 0.049493 , 0 , 0 , 0 , 2146 , 1.80457 , 403 , 9.72811 , 1
SRI-V2 , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 797.004 , 1.4523 , 60.079 , 60.685 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 248 , 492 , 1.16172 , 17 , 0.005583 , 0 , 0 , 0 , 2742 , 1.25192 , 56 , 0.002453 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 797.07 , 1.44418 , 60.11 , 61.312 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 441 , 694 , 1.21487 , 26 , 0.005353 , 0 , 0 , 0 , 2771 , 1.29704 , 66 , 0.040485 , 1
SRI-V2 , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 800.451 , 5.39414 , 60.162 , 1000.12 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 834.621 , 1.35556 , 26846 , 8205 , 10.5721 , 687 , 0.144491 , 0 , 0 , 0 , 2467 , 0.508923 , 897 , 0.742817 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 800.402 , 5.39992 , 60.078 , 1000.07 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 840.243 , 0.691116 , 34494 , 7315 , 10.4973 , 557 , 0.161436 , 0 , 0 , 0 , 2361 , 0.507093 , 752 , 6.73612 , 0
SRI-V2 , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.192 , 1.01822 , 60.057 , 61.596 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 430 , 849 , 1.52191 , 30 , 0.006798 , 0 , 0 , 0 , 2099 , 1.25961 , 85 , 0.002517 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.197 , 1.01767 , 60.138 , 60.412 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 74 , 435 , 1.43961 , 5 , 0.001003 , 0 , 0 , 0 , 2101 , 1.26078 , 63 , 0.005059 , 1
SRI-V2 , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 828.013 , 5.71795 , 60.089 , 1000.12 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 844.657 , 3.82282 , 18432 , 8660 , 7.84051 , 419 , 0.057466 , 0 , 0 , 0 , 2413 , 0.566933 , 597 , 0.531772 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 827.903 , 5.73046 , 60.095 , 1000.09 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 839.754 , 4.38109 , 23517 , 9659 , 10.3599 , 452 , 0.070363 , 0 , 0 , 0 , 2396 , 0.568477 , 669 , 6.05107 , 0
SRI-V2 , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.118 , 3.46924 , 60.066 , 246.862 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 12857 , 3861 , 5.21279 , 127 , 0.019875 , 0 , 0 , 0 , 1636 , 1.19619 , 198 , 0.017821 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.118 , 3.46924 , 60.086 , 297.016 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 17847 , 3826 , 6.15171 , 94 , 0.02272 , 0 , 0 , 0 , 1638 , 1.19903 , 171 , 2.97562 , 1
SRI-V2 , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 683.612 , 6.31222 , 60.074 , 588.579 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 34782 , 5587 , 9.21515 , 318 , 0.058118 , 0 , 0 , 0 , 2619 , 0.727606 , 463 , 0.15277 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 683.603 , 6.31343 , 60.081 , 834.428 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 33271 , 5965 , 10.6394 , 282 , 0.04074 , 0 , 0 , 0 , 2616 , 0.724645 , 491 , 5.94629 , 1
SRI-V2 , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 671.533 , 2.3196 , 60.042 , 62.239 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 562 , 767 , 1.99569 , 33 , 0.004812 , 0 , 0 , 0 , 1748 , 1.36928 , 67 , 0.002674 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 671.493 , 2.32544 , 60.045 , 62.248 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 572 , 730 , 1.99379 , 34 , 0.005826 , 0 , 0 , 0 , 1734 , 1.36057 , 68 , 0.0539 , 1
SRI-V2 , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1130.05 , 966.396 , 14.482 , 60.165 , 1000.18 , 8 , 1017 , 113.05 , 101.38 , 113.05 , 1130.05 , 981.243 , 13.1682 , 10775 , 11796 , 6.29884 , 554 , 0.080713 , 0 , 0 , 0 , 1996 , 1.11122 , 727 , 0.35591 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1131.98 , 966.442 , 14.6238 , 60.169 , 1000.18 , 8 , 1056 , 75.98 , 73.76 , 75.98 , 1131.98 , 974.892 , 13.8773 , 10115 , 10884 , 7.09454 , 415 , 0.065588 , 0 , 0 , 0 , 2031 , 1.15707 , 655 , 2.45158 , 0
SRI-V2 , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 931.317 , 4.1993 , 60.137 , 810.408 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 16110 , 6651 , 11.0004 , 159 , 0.02561 , 0 , 0 , 0 , 1788 , 1.51846 , 228 , 0.504772 , 1
SRI-V2-FLOW , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 931.317 , 4.1993 , 60.178 , 1000.07 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 967.825 , 0.443844 , 18876 , 7620 , 12.3096 , 254 , 0.050393 , 0 , 0 , 0 , 1787 , 1.51654 , 327 , 5.62912 , 0
SRI-V2 , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1094.19 , 976.279 , 10.7761 , 60.26 , 1000.11 , 8 , 1037 , 57.19 , 54.56 , 57.19 , 1094.19 , 1005.21 , 8.13228 , 15546 , 9817 , 8.66032 , 495 , 0.101093 , 0 , 0 , 0 , 2129 , 1.02473 , 771 , 0.797824 , 0
SRI-V2-FLOW , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1083.22 , 976.301 , 9.87049 , 60.211 , 1000.14 , 8 , 1026 , 57.22 , 57.16 , 57.22 , 1083.22 , 1001.42 , 7.55125 , 13072 , 9243 , 7.90747 , 352 , 0.074339 , 0 , 0 , 0 , 2132 , 1.025 , 586 , 4.85371 , 0
SRI-V2 , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.82 , 936.399 , 4.72322 , 60.112 , 255.57 , 7 , 969 , 13.82 , 13.28 , 13.82 , 982.82 , 982.82 , 0 , 10425 , 3346 , 5.36915 , 89 , 0.03168 , 0 , 0 , 0 , 1839 , 1.01553 , 124 , 0.400522 , 1
