Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
sri , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 880.34 , 724.317 , 17.7231 , 60.039 , 130.051 , 6 , 853 , 27.34 , 27.33 , 27.34 , 880.34 , 777.55 , 11.6762 , 15092 , 813 , 2.89662 , 960 , 0.630962 , 0 , 0 , 0 , 3831 , 0.962584 , 986 , 3.3173 , 0
sri+inout , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 865.57 , 695.885 , 19.6038 , 60.031 , 130.039 , 6 , 707 , 158.57 , 156.05 , 158.57 , 865.57 , 768.172 , 11.2525 , 17653 , 694 , 7.90183 , 355 , 0.187049 , 0 , 0 , 0 , 5334 , 7.26444 , 841 , 3.78901 , 0
sri , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 743.077 , 7.77824 , 60.269 , 105.477 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 765.637 , 4.97837 , 25903 , 500 , 7.51816 , 147 , 0.074572 , 0 , 0 , 0 , 3401 , 0.86383 , 499 , 5.25775 , 0
sri+inout , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 722.105 , 10.381 , 60.046 , 105.493 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 769.48 , 4.50138 , 16690 , 414 , 6.14689 , 195 , 0.118868 , 0 , 0 , 0 , 11554 , 3.2768 , 456 , 3.32344 , 0
sri , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 870.9 , 725.388 , 16.7083 , 60.264 , 130.116 , 6 , 579 , 291.9 , 260.84 , 291.9 , 870.9 , 746.139 , 14.3255 , 16431 , 586 , 4.15723 , 540 , 0.398829 , 0 , 0 , 0 , 3523 , 0.765967 , 1045 , 4.10243 , 0
sri+inout , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 877.36 , 725.364 , 17.3242 , 60.094 , 130.082 , 6 , 602 , 275.36 , 255.9 , 275.36 , 877.36 , 744.933 , 15.0938 , 17692 , 610 , 3.98828 , 591 , 0.335342 , 0 , 0 , 0 , 3493 , 0.757573 , 1127 , 4.50083 , 0
sri , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 790.1 , 734.506 , 7.03627 , 60.096 , 100.697 , 6 , 696 , 94.1 , 94.1 , 94.1 , 790.1 , 759.65 , 3.85392 , 19402 , 326 , 5.37783 , 155 , 0.078178 , 0 , 0 , 0 , 3799 , 0.861559 , 492 , 4.41932 , 0
sri+inout , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 790.1 , 734.525 , 7.03393 , 60.076 , 100.709 , 6 , 696 , 94.1 , 94.1 , 94.1 , 790.1 , 759.246 , 3.90502 , 18947 , 325 , 5.3221 , 120 , 0.070927 , 0 , 0 , 0 , 3819 , 0.865235 , 482 , 4.28065 , 0
sri , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 875.21 , 680.57 , 22.2392 , 60.033 , 130.075 , 6 , 694 , 181.21 , 178.52 , 181.21 , 875.21 , 769.819 , 12.0418 , 9828 , 630 , 2.72797 , 908 , 0.571458 , 0 , 0 , 0 , 1367 , 0.88868 , 1080 , 2.7669 , 0
sri+inout , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 882.94 , 726.634 , 17.7029 , 60.077 , 130.044 , 6 , 847 , 35.94 , 35.94 , 35.94 , 882.94 , 761.682 , 13.7335 , 10666 , 675 , 3.33946 , 1162 , 0.704067 , 0 , 0 , 0 , 4266 , 3.295 , 1203 , 3.04418 , 0
