Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_0.svrp , 4 , 733.428 , 710.503 , 22.9257 , 22.3823 , 22.9257 , 733.428 , 733.428 , 0 , 707.892 , 3.48178 , 32550 , 3066 , 0 , 0 , 71514 , 25853 , 0.033 , 252.942 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_0.svrp , 4 , 733.428 , 710.503 , 22.9257 , 22.3823 , 22.9257 , 733.428 , 733.428 , 0 , 717.102 , 2.22596 , 3367 , 1341 , 0 , 500 , 10243 , 2694 , 0.557 , 18.485 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_1.svrp , 4 , 737.958 , 719.342 , 18.6154 , 18.0865 , 18.6154 , 737.958 , 737.958 , 0 , 703.458 , 4.67501 , 16465 , 2575 , 0 , 0 , 52124 , 7868 , 0.026 , 102.222 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_1.svrp , 4 , 737.958 , 719.342 , 18.6154 , 18.0865 , 18.6154 , 737.958 , 737.958 , 0 , 712.582 , 3.43862 , 2314 , 1570 , 0 , 260 , 6836 , 2079 , 0.819 , 18.259 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_2.svrp , 4 , 636.306 , 622.265 , 14.041 , 13.1338 , 14.041 , 636.306 , 636.306 , 0 , 615.607 , 3.25308 , 3410 , 1548 , 0 , 0 , 11084 , 3433 , 0.063 , 25.022 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_2.svrp , 4 , 636.306 , 622.265 , 14.041 , 13.1338 , 14.041 , 636.306 , 636.306 , 0 , 621.082 , 2.39261 , 905 , 822 , 0 , 163 , 2548 , 628 , 2.131 , 7.505 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_3.svrp , 4 , 741.058 , 712.977 , 28.0813 , 27.4021 , 28.0813 , 741.058 , 720.43 , 2.7836 , 694.206 , 6.32235 , 25190 , 6688 , 0 , 0 , 109991 , 8580 , 0.033 , 600.029 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_3.svrp , 4 , 736.553 , 718.677 , 17.8763 , 16.5793 , 17.8763 , 736.553 , 736.553 , 0 , 703.924 , 4.43008 , 11278 , 3549 , 0 , 651 , 34431 , 2751 , 0.643 , 151.577 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_4.svrp , 4 , 644.86 , 621.317 , 23.5429 , 23.4611 , 23.5429 , 644.86 , 644.86 , 0 , 623.514 , 3.31022 , 2031 , 624 , 0 , 0 , 8468 , 604 , 0.021 , 5.373 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_4.svrp , 4 , 644.86 , 621.317 , 23.5429 , 23.4611 , 23.5429 , 644.86 , 644.86 , 0 , 638.192 , 1.03398 , 280 , 477 , 0 , 98 , 826 , 669 , 0.612 , 1.818 , 1
