Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 690.5 , 5.30719 , 0.053 , 172.31 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 25043 , 2848 , 5.96174 , 915 , 2.09142 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 699.61 , 4.05788 , 0.057 , 14.675 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 3995 , 972 , 1.28393 , 45 , 0.752847 , 0 , 72 , 0.576995 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-SRI-PARADA_PATH-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-LAG , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 715.856 , 1.82999 , 5.565 , 13.595 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1400 , 659 , 1.25098 , 15 , 0.270509 , 9 , 0 , 0.213604 , 807 , 1.81993 , 160 , 0.231052 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 628 , 4.96943 , 0.024 , 116.336 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 23014 , 1859 , 4.14993 , 1792 , 2.2256 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 628 , 4.96943 , 0.024 , 17.618 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 3413 , 1097 , 1.06023 , 122 , 0.687976 , 0 , 200 , 0.564622 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-SRI-PARADA_PATH-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-LAG , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 647.74 , 1.98233 , 1.922 , 14.539 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 2948 , 749 , 1.27673 , 57 , 0.647597 , 19 , 0 , 0.506169 , 597 , 0.519218 , 201 , 0.550324 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 664.5 , 3.29763 , 0.012 , 2.931 , 4 , 666 , 21.16 , 19.72 , 20.56 , 687.16 , 687.16 , 0 , 2691 , 366 , 0.39763 , 161 , 0.263709 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 670.4 , 2.43902 , 0.016 , 0.517 , 4 , 666 , 21.16 , 19.72 , 20.56 , 687.16 , 687.16 , 0 , 417 , 115 , 0.046703 , 51 , 0.098989 , 0 , 21 , 0.083001 , 0 , 0 , 0 , 0 , 1 , 0
SVRP-SRI-PARADA_PATH-PARADA_SET-PARTIAL_ROUTE-NODE-PRSEPARATION-PRAFUNCTION-LAG , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 684.97 , 0.318703 , 0.167 , 0.31 , 4 , 666 , 21.16 , 19.72 , 20.56 , 687.16 , 687.16 , 0 , 6 , 61 , 0.044945 , 5 , 0.011286 , 3 , 0 , 0.012349 , 66 , 0.042979 , 27 , 0.011167 , 1 , 0
SVRP-PARTIAL_ROUTE-NODE-PRDISAGGREGATION , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 588.333 , 0.873882 , 0.019 , 0.209 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 1 , 98 , 0.015603 , 19 , 0.012513 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
