Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 832.02 , 6.82867 , 0.049 , 351.82 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 36627 , 3344 , 7.61685 , 293 , 0.799434 , 333 , 0.760735 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.46 , 4.31579 , 60.079 , 105.076 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 7604 , 1687 , 4.08132 , 119 , 0.146697 , 0 , 0 , 4514 , 2.87414 , 248 , 0.520264 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.86 , 4.271 , 60.063 , 146.427 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 8695 , 2446 , 4.37742 , 276 , 1.6501 , 0 , 0 , 4476 , 2.80152 , 360 , 0.612305 , 1
SVRP-SET-PR , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 787.89 , 2.57929 , 0.053 , 7.138 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 1642 , 609 , 0.195148 , 46 , 0.216347 , 45 , 0.031377 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 800.03 , 1.07821 , 60.116 , 61.185 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 198 , 338 , 3.67301 , 7 , 0.008604 , 0 , 0 , 4116 , 14.0754 , 63 , 0.021942 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 800.03 , 1.07821 , 60.096 , 61.024 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 64 , 325 , 3.66775 , 9 , 0.026259 , 0 , 0 , 4116 , 13.2134 , 63 , 0.01149 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 847.41 , 803.19 , 5.21825 , 60.132 , 1800.08 , 6 , 819 , 28.41 , 28.09 , 28.41 , 847.41 , 840.64 , 0.798905 , 39228 , 9945 , 15.2401 , 961 , 1.34031 , 0 , 0 , 4248 , 1.16385 , 1194 , 2.19288 , 0
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 802.8 , 5.11648 , 60.078 , 1033.01 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 30770 , 7200 , 10.877 , 726 , 5.96944 , 0 , 0 , 4156 , 1.15815 , 738 , 1.55373 , 1
SVRP-SET-PR , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 785.36 , 1.12303 , 0.065 , 0.783 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 164 , 275 , 0.024289 , 4 , 0.025205 , 12 , 0.004626 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 790.52 , 0.473385 , 60.223 , 61.04 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 6 , 358 , 4.47133 , 5 , 0.00175 , 0 , 0 , 2244 , 30.118 , 77 , 0.006727 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 790.581 , 0.465751 , 60.05 , 60.979 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 9 , 368 , 4.54318 , 5 , 0.006812 , 0 , 0 , 2244 , 29.1877 , 77 , 0.007504 , 1
SVRP-SET-PR , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 887.95 , 811.23 , 8.64013 , 0.082 , 1800.02 , 6 , 879 , 8.95 , 8.95 , 8.95 , 887.95 , 838.87 , 5.52734 , 26260 , 12572 , 11.442 , 721 , 0.81168 , 943 , 0.895177 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 830.29 , 5.45871 , 60.112 , 1800.06 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 847.681 , 3.47852 , 34626 , 9047 , 17.9282 , 391 , 0.972431 , 0 , 0 , 4142 , 2.15749 , 640 , 2.52961 , 0
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 830.31 , 5.45643 , 60.094 , 1800.09 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 845.661 , 3.70854 , 28712 , 9611 , 15.3031 , 491 , 9.06858 , 0 , 0 , 4188 , 2.27851 , 599 , 2.13694 , 0
SVRP-SET-PR , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 792.33 , 4.5282 , 0.076 , 1565.07 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 63379 , 5706 , 19.1252 , 169 , 1.59855 , 230 , 1.00716 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.44 , 3.43049 , 60.12 , 768.755 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 32967 , 4718 , 12.7158 , 150 , 0.7955 , 0 , 0 , 2199 , 1.80411 , 248 , 1.85714 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.54 , 3.4184 , 60.105 , 284.049 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 17569 , 3383 , 7.97907 , 98 , 3.69896 , 0 , 0 , 2340 , 1.9762 , 142 , 1.17795 , 1
SVRP-SET-PR , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 674.72 , 7.5308 , 0.06 , 1800.03 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 713.65 , 2.19551 , 49984 , 7797 , 19.6514 , 615 , 1.47764 , 669 , 1.2539 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 687.37 , 5.79714 , 60.075 , 1047.18 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 48608 , 5905 , 17.0129 , 313 , 0.997379 , 0 , 0 , 4619 , 2.22162 , 481 , 2.55677 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 687.7 , 5.75192 , 60.078 , 796.144 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 44233 , 4791 , 15.5445 , 298 , 10.566 , 0 , 0 , 4651 , 2.28016 , 433 , 2.46313 , 1
SVRP-SET-PR , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 671 , 2.39716 , 0.083 , 3.386 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 643 , 514 , 0.176597 , 29 , 0.026266 , 38 , 0.00747 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 674.85 , 1.83714 , 60.101 , 64.67 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 680 , 748 , 5.99212 , 22 , 0.015199 , 0 , 0 , 3408 , 4.72402 , 67 , 0.085075 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 675 , 1.81533 , 60.096 , 63.902 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 212 , 479 , 5.77061 , 11 , 0.05558 , 0 , 0 , 3391 , 4.58361 , 57 , 0.025044 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1110.56 , 971.48 , 12.5234 , 60.152 , 1800.1 , 8 , 1056 , 54.56 , 53.49 , 54.56 , 1110.56 , 981.86 , 11.5887 , 14899 , 13920 , 12.6674 , 601 , 0.553864 , 0 , 0 , 3928 , 3.20628 , 775 , 1.93537 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.13 , 3.90993 , 60.254 , 1270.85 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 21384 , 6922 , 17.2323 , 198 , 0.54521 , 0 , 0 , 2832 , 3.80748 , 308 , 2.02158 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.18 , 3.90479 , 60.185 , 584.609 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 14054 , 5739 , 11.871 , 169 , 6.44496 , 0 , 0 , 2852 , 3.8266 , 263 , 1.36286 , 1
SVRP-SET-PR , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.82 , 936.891 , 4.67323 , 0.229 , 658.484 , 7 , 969 , 13.82 , 13.28 , 13.82 , 982.82 , 982.82 , 0 , 15599 , 4421 , 7.40981 , 112 , 0.469496 , 129 , 0.623117 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.82 , 946.28 , 3.71787 , 60.118 , 147.955 , 7 , 969 , 13.82 , 13.28 , 13.82 , 982.82 , 982.82 , 0 , 4920 , 2223 , 5.40254 , 41 , 0.158127 , 0 , 0 , 3324 , 2.91076 , 84 , 0.879539 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.82 , 945.65 , 3.78197 , 60.103 , 606.343 , 7 , 969 , 13.82 , 13.28 , 13.82 , 982.82 , 982.82 , 0 , 13167 , 4479 , 9.32313 , 159 , 4.80512 , 0 , 0 , 3406 , 3.02857 , 185 , 1.65208 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1146.39 , 1103.05 , 3.78056 , 60.199 , 1800.14 , 11 , 1131 , 15.39 , 15.39 , 15.39 , 1146.39 , 1134.82 , 1.00926 , 27864 , 8574 , 29.9819 , 177 , 0.796063 , 0 , 0 , 2612 , 4.58119 , 269 , 4.4611 , 0
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1146.39 , 1104.09 , 3.68984 , 60.27 , 1800.1 , 11 , 1131 , 15.39 , 15.39 , 15.39 , 1146.39 , 1131.21 , 1.32416 , 22759 , 8966 , 25.9212 , 281 , 24.8935 , 0 , 0 , 2604 , 4.58468 , 385 , 3.90384 , 0
