Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 684 , 0.57417 , 0.049 , 1.024 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 164 , 130 , 0.032803 , 49 , 0.046855 , 14 , 0.028218 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 684.1 , 0.559634 , 51.256 , 52.397 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 98 , 173 , 0.741142 , 21 , 0.019391 , 0 , 0 , 188 , 50.0989 , 27 , 0.077197 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682.88 , 0.736972 , 52.544 , 56.422 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 380 , 278 , 0.824123 , 70 , 0.890472 , 0 , 0 , 188 , 51.2381 , 43 , 0.283634 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.77 , 1.17407 , 0.042 , 6.962 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1190 , 434 , 0.180913 , 130 , 0.240473 , 49 , 0.216727 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 646.92 , 0.844535 , 60.057 , 61.031 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 125 , 166 , 1.68399 , 36 , 0.026182 , 0 , 0 , 173 , 59.1022 , 25 , 0.098875 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 646.98 , 0.835339 , 60.089 , 63.539 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 504 , 199 , 1.66763 , 44 , 1.96164 , 0 , 0 , 173 , 59.0619 , 25 , 0.386258 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 691.98 , 2.57919 , 0.024 , 16.02 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 3150 , 664 , 0.598633 , 118 , 0.330157 , 75 , 0.511502 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.75 , 2.33 , 34.63 , 75.998 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4880 , 980 , 1.05912 , 111 , 0.391167 , 0 , 0 , 12 , 34.4061 , 81 , 3.10192 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.75 , 2.33 , 34.447 , 89.601 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 5205 , 1091 , 1.14688 , 229 , 5.47484 , 0 , 0 , 12 , 34.2369 , 122 , 3.36926 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 707.51 , 0.982464 , 0.053 , 2.384 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 424 , 229 , 0.097505 , 41 , 0.068382 , 28 , 0.072794 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 709.03 , 0.769737 , 52.831 , 56.621 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 768 , 295 , 0.521852 , 46 , 0.061484 , 0 , 0 , 100 , 52.0075 , 46 , 0.671854 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 709.45 , 0.710957 , 51.397 , 56.573 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 749 , 272 , 0.405214 , 79 , 2.39834 , 0 , 0 , 100 , 50.5055 , 36 , 0.545948 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 717.97 , 1.37504 , 0.025 , 0.962 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 424 , 213 , 0.062783 , 31 , 0.062072 , 24 , 0.056962 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 718.42 , 1.31322 , 38.245 , 39.696 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 243 , 202 , 0.175126 , 27 , 0.036425 , 0 , 0 , 196 , 37.2196 , 36 , 0.165658 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 720.23 , 1.06459 , 38.42 , 41.113 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 451 , 262 , 0.212597 , 39 , 0.568596 , 0 , 0 , 196 , 37.414 , 34 , 0.272652 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 662.5 , 0.0075466 , 0.025 , 0.45 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 1 , 81 , 0.008962 , 16 , 0.012029 , 11 , 0.007417 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 656.4 , 0.928232 , 30.512 , 33.783 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 460 , 322 , 0.135216 , 42 , 0.068691 , 0 , 0 , 17 , 30.2971 , 23 , 0.381166 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 656.4 , 0.928232 , 30.632 , 38.312 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 555 , 359 , 0.16407 , 61 , 0.606926 , 0 , 0 , 17 , 30.4126 , 44 , 0.48773 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 642.87 , 0.0652894 , 0.056 , 0.366 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 1 , 112 , 0.011988 , 12 , 0.009583 , 5 , 0.00852 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 640.08 , 0.498997 , 30.786 , 31.44 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 75 , 153 , 0.070346 , 12 , 0.022619 , 0 , 0 , 8 , 30.54 , 7 , 0.062737 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 640.08 , 0.498997 , 31.811 , 32.733 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 79 , 150 , 0.073062 , 19 , 0.29032 , 0 , 0 , 8 , 31.5374 , 7 , 0.062854 , 1
SVRP-SET-PR , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 662.45 , 1.28893 , 0.024 , 9.486 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 2936 , 349 , 0.275459 , 68 , 1.01896 , 47 , 0.527744 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 662.64 , 1.26062 , 37.244 , 42.393 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 703 , 236 , 0.194234 , 107 , 0.134603 , 0 , 0 , 31 , 36.9516 , 43 , 0.623338 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 662.64 , 1.26062 , 37.269 , 43.553 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 806 , 220 , 0.202339 , 99 , 2.90957 , 0 , 0 , 31 , 36.9796 , 32 , 0.689561 , 1
