Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 638.97 , 4.07872 , 60.261 , 111.334 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 5896 , 329 , 1.6013 , 563 , 0.479544 , 0 , 0 , 2855 , 0.356587 , 522 , 3.88921 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 639.61 , 3.98265 , 60.252 , 92.456 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 4172 , 231 , 1.11114 , 205 , 5.49105 , 0 , 0 , 2830 , 0.35449 , 431 , 2.94551 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 672.81 , 605 , 10.0786 , 0.018 , 1800.06 , 3 , 652 , 20.81 , 20.81 , 20.81 , 672.81 , 627.17 , 6.78349 , 34834 , 733 , 6.9588 , 10336 , 6.25682 , 4874 , 6.30973 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 639.18 , 2.80701 , 60.189 , 84.166 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 5207 , 176 , 0.795235 , 260 , 0.309267 , 0 , 0 , 2212 , 0.347894 , 310 , 3.28906 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 639.56 , 2.74922 , 60.424 , 117.147 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 6428 , 195 , 1.02929 , 450 , 27.2105 , 0 , 0 , 2222 , 0.347593 , 331 , 3.83813 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 665.68 , 596.1 , 10.4525 , 0.025 , 1800.07 , 3 , 591 , 74.68 , 71.19 , 74.68 , 665.68 , 632.06 , 5.05047 , 42806 , 549 , 9.38633 , 7982 , 4.87173 , 6093 , 7.38979 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 661.37 , 642.22 , 2.8955 , 60.068 , 98.296 , 3 , 652 , 9.37 , 8.54 , 9.37 , 661.37 , 661.37 , 0 , 12137 , 189 , 1.57528 , 695 , 0.620385 , 0 , 0 , 3061 , 0.532641 , 387 , 4.69431 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 661.37 , 642.3 , 2.88341 , 60.132 , 152.725 , 3 , 652 , 9.37 , 8.54 , 9.37 , 661.37 , 661.37 , 0 , 12058 , 173 , 1.4816 , 1038 , 47.2901 , 0 , 0 , 3051 , 0.531589 , 382 , 4.60677 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 617.5 , 8.38007 , 0.022 , 1800.04 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 659.851 , 2.09642 , 42989 , 648 , 8.48288 , 5743 , 4.72835 , 3750 , 6.47774 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 666.61 , 1.0935 , 60.131 , 62.275 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 673.98 , 0 , 706 , 80 , 0.253816 , 44 , 0.070552 , 0 , 0 , 3437 , 0.324558 , 68 , 0.43804 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 666.09 , 1.17066 , 60.189 , 64.871 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 673.98 , 0 , 594 , 70 , 0.237726 , 70 , 3.01974 , 0 , 0 , 3437 , 0.325655 , 76 , 0.383508 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 674.9 , 607.41 , 10 , 0.02 , 1800.08 , 3 , 610 , 64.9 , 58.09 , 64.9 , 674.9 , 636.34 , 5.71344 , 46807 , 818 , 9.46103 , 9525 , 5.82994 , 5609 , 7.88804 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 666.33 , 648.88 , 2.61882 , 60.189 , 80.94 , 3 , 650 , 16.33 , 15.48 , 16.33 , 666.33 , 666.33 , 0 , 9574 , 165 , 1.54988 , 156 , 0.304871 , 0 , 0 , 2927 , 0.386032 , 199 , 4.20785 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 666.33 , 648.84 , 2.62483 , 60.126 , 119.006 , 3 , 650 , 16.33 , 15.48 , 16.33 , 666.33 , 666.33 , 0 , 13526 , 193 , 2.11033 , 303 , 22.8501 , 0 , 0 , 2946 , 0.389179 , 212 , 5.08252 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 724.4 , 0.614642 , 60.114 , 60.833 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 728.88 , 0 , 135 , 46 , 0.158452 , 36 , 0.033368 , 0 , 0 , 2587 , 0.395003 , 56 , 0.099444 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 725.09 , 0.519976 , 60.148 , 62.493 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 728.88 , 0 , 67 , 44 , 0.163022 , 46 , 1.06253 , 0 , 0 , 2557 , 0.391849 , 56 , 0.088811 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 706.25 , 603.54 , 14.543 , 0.012 , 1800.06 , 3 , 620 , 86.25 , 74.96 , 86.25 , 706.25 , 628.13 , 11.0612 , 34738 , 1229 , 5.56271 , 11479 , 7.25528 , 3940 , 6.04018 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 658.03 , 642.29 , 2.39199 , 60.159 , 67.502 , 3 , 653 , 5.03 , 4.33 , 5.03 , 658.03 , 658.03 , 0 , 1447 , 101 , 0.404981 , 74 , 0.108267 , 0 , 0 , 2327 , 0.337227 , 147 , 1.07873 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 658.03 , 643.21 , 2.25218 , 60.031 , 80.51 , 3 , 653 , 5.03 , 4.33 , 5.03 , 658.03 , 658.03 , 0 , 1409 , 114 , 0.374374 , 172 , 7.04787 , 0 , 0 , 2524 , 0.354327 , 215 , 1.04866 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 720.12 , 645.34 , 10.3844 , 0.019 , 1800.11 , 3 , 696 , 24.12 , 21.73 , 24.12 , 720.12 , 676 , 6.12676 , 41956 , 947 , 8.36845 , 8733 , 5.27803 , 5854 , 7.3185 , 0 , 0 , 0 , 0 , 0
