Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 525.405 , 7.75571 , 6429 , 449 , 1198 , 1343 , 0 , 0.041 , 33.506 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 500 , 12.216 , 64353 , 1305 , 28215 , 0 , 0 , 0.005 , 1363.08 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 500 , 12.216 , 5760 , 757 , 0 , 0 , 12504 , 0.01 , 8.982 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 513.275 , 9.88535 , 2003 , 271 , 307 , 125 , 0 , 0.01 , 2.803 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 513.275 , 9.88535 , 937 , 205 , 0 , 98 , 1522 , 0.011 , 1.891 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 417.775 , 5.92136 , 764 , 93 , 284 , 136 , 0 , 0.019 , 1.716 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 394.5 , 11.1627 , 8870 , 276 , 4907 , 0 , 0 , 0.004 , 29.375 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 405.5 , 8.68557 , 619 , 109 , 0 , 0 , 542 , 0.01 , 0.626 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 417.38 , 6.01031 , 834 , 105 , 226 , 7 , 0 , 0.004 , 0.665 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 421.86 , 5.00146 , 1178 , 85 , 0 , 6 , 458 , 0.009 , 1.157 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-2.svrp , 3 , 560.59 , 508 , 52.59 , 52.59 , 560.59 , 560.59 , 0 , 529.879 , 5.47842 , 1041 , 188 , 212 , 633 , 0 , 0.046 , 6.024 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-2.svrp , 3 , 560.59 , 508 , 52.59 , 52.59 , 560.59 , 560.59 , 0 , 508.5 , 9.292 , 12674 , 570 , 4758 , 0 , 0 , 0.007 , 38.307 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-2.svrp , 3 , 560.59 , 508 , 52.59 , 52.59 , 560.59 , 560.59 , 0 , 509 , 9.2028 , 2080 , 363 , 0 , 0 , 2330 , 0.008 , 2.401 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-2.svrp , 3 , 560.59 , 508 , 52.59 , 52.59 , 560.59 , 560.59 , 0 , 533.7 , 4.79673 , 468 , 133 , 60 , 81 , 0 , 0.011 , 0.738 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-2.svrp , 3 , 560.59 , 508 , 52.59 , 52.59 , 560.59 , 560.59 , 0 , 533.7 , 4.79673 , 1416 , 141 , 0 , 49 , 213 , 0.011 , 2.931 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-3.svrp , 3 , 439.02 , 397 , 42.02 , 42.02 , 439.02 , 439.02 , 0 , 412.724 , 5.9897 , 1382 , 128 , 453 , 420 , 0 , 0.037 , 7.379 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-3.svrp , 3 , 439.02 , 397 , 42.02 , 42.02 , 439.02 , 439.02 , 0 , 395.67 , 9.87427 , 21258 , 371 , 9064 , 0 , 0 , 0.005 , 122.931 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-3.svrp , 3 , 439.02 , 397 , 42.02 , 42.02 , 439.02 , 439.02 , 0 , 395.67 , 9.87427 , 2269 , 167 , 0 , 0 , 3212 , 0.006 , 2.123 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-3.svrp , 3 , 439.02 , 397 , 42.02 , 42.02 , 439.02 , 439.02 , 0 , 414.44 , 5.59883 , 891 , 101 , 180 , 58 , 0 , 0.008 , 1.166 , 1 , 
