Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-3.svrp , 3 , 476 , 470 , 6 , 6 , 476 , 476 , 0 , 469 , 1.47059 , 7 , 33 , 0 , 60 , 0 , 0 , 0.009 , 0.11 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-3.svrp , 3 , 476 , 470 , 6 , 6 , 476 , 476 , 0 , 467 , 1.89076 , 26 , 36 , 15 , 0 , 0 , 0 , 0.004 , 0.055 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-3.svrp , 3 , 476 , 470 , 6 , 6 , 476 , 476 , 0 , 467 , 1.89076 , 18 , 38 , 0 , 0 , 62 , 12 , 0.005 , 0.053 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-3.svrp , 3 , 476 , 470 , 6 , 6 , 476 , 476 , 0 , 469 , 1.47059 , 9 , 40 , 0 , 3 , 0 , 0 , 0.005 , 0.051 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-3.svrp , 3 , 476 , 470 , 6 , 6 , 476 , 476 , 0 , 469 , 1.47059 , 9 , 40 , 0 , 3 , 23 , 12 , 0.005 , 0.051 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-4.svrp , 3 , 474.87 , 471 , 3.87 , 3.87 , 474.87 , 474.87 , 0 , 471.1 , 0.793901 , 1 , 23 , 0 , 47 , 0 , 0 , 0.02 , 0.071 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-4.svrp , 3 , 474.87 , 471 , 3.87 , 3.87 , 474.87 , 474.87 , 0 , 467 , 1.6573 , 41 , 35 , 13 , 0 , 0 , 0 , 0.004 , 0.062 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-4.svrp , 3 , 474.87 , 471 , 3.87 , 3.87 , 474.87 , 474.87 , 0 , 467 , 1.6573 , 12 , 36 , 0 , 0 , 53 , 10 , 0.004 , 0.051 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-4.svrp , 3 , 474.87 , 471 , 3.87 , 3.87 , 474.87 , 474.87 , 0 , 470.95 , 0.825489 , 1 , 34 , 0 , 5 , 0 , 0 , 0.006 , 0.052 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-High-scen200-4.svrp , 3 , 474.87 , 471 , 3.87 , 3.87 , 474.87 , 474.87 , 0 , 470.95 , 0.825489 , 1 , 34 , 0 , 5 , 12 , 0 , 0.006 , 0.053 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0.005 , 0.032 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0.001 , 0.021 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0.001 , 0.021 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0.005 , 0.029 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0.005 , 0.03 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 469.8 , 0.254777 , 1 , 25 , 0 , 9 , 0 , 0 , 0.008 , 0.043 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467 , 0.849257 , 7 , 28 , 4 , 0 , 0 , 0 , 0.004 , 0.044 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467 , 0.849257 , 1 , 28 , 0 , 0 , 27 , 2 , 0.004 , 0.042 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467.8 , 0.679406 , 1 , 30 , 0 , 2 , 0 , 0 , 0.005 , 0.058 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467.8 , 0.679406 , 1 , 30 , 0 , 2 , 15 , 0 , 0.006 , 0.061 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 648.288 , 1.22081 , 47 , 145 , 3 , 357 , 0 , 0 , 0.021 , 0.166 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 640.67 , 2.38153 , 282 , 228 , 46 , 0 , 0 , 0 , 0.006 , 0.211 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 641.67 , 2.22916 , 171 , 178 , 0 , 0 , 567 , 48 , 0.007 , 0.174 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 647.24 , 1.38047 , 103 , 175 , 5 , 14 , 0 , 0 , 0.008 , 0.15 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 647.49 , 1.34237 , 91 , 190 , 0 , 9 , 104 , 27 , 0.009 , 0.137 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 647.838 , 2.04167 , 96 , 174 , 5 , 611 , 0 , 0 , 0.019 , 0.259 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 640.67 , 3.12547 , 454 , 245 , 88 , 0 , 0 , 0 , 0.006 , 0.296 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 641.67 , 2.97426 , 227 , 253 , 0 , 0 , 590 , 57 , 0.007 , 0.195 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 653.07 , 1.25049 , 47 , 136 , 3 , 23 , 0 , 0 , 0.012 , 0.13 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 653.07 , 1.25049 , 92 , 139 , 0 , 22 , 99 , 8 , 0.012 , 0.141 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.46 , 0 , 1 , 54 , 0 , 117 , 0 , 0 , 0.023 , 0.059 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 533 , 0.273173 , 3 , 64 , 1 , 0 , 0 , 0 , 0.006 , 0.07 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 533 , 0.273173 , 4 , 64 , 0 , 0 , 10 , 1 , 0.006 , 0.073 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.37 , 0.0168394 , 1 , 64 , 1 , 5 , 0 , 0 , 0.015 , 0.052 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.37 , 0.0168394 , 1 , 64 , 0 , 5 , 3 , 1 , 0.016 , 0.053 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 23 , 91 , 3 , 75 , 0 , 0 , 0.02 , 0.112 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 640.67 , 1.81604 , 164 , 149 , 23 , 0 , 0 , 0 , 0.007 , 0.123 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 641.67 , 1.66278 , 58 , 126 , 0 , 0 , 163 , 27 , 0.007 , 0.153 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 22 , 88 , 0 , 5 , 0 , 0 , 0.016 , 0.107 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 22 , 88 , 0 , 5 , 70 , 22 , 0.015 , 0.098 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 617 , 0.727249 , 5 , 57 , 0 , 321 , 0 , 0 , 0.024 , 0.136 , 1
