Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 525.405 , 7.75571 , 6437 , 436 , 1216 , 1346 , 0 , 0 , 0.012 , 25.657 , 1
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 556 , 2.38421 , 500 , 12.216 , 45600 , 1209 , 19095 , 0 , 0 , 0 , 0.004 , 600.075 , 0
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 500 , 12.216 , 5760 , 757 , 0 , 0 , 12504 , 1715 , 0.004 , 5.623 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 513.275 , 9.88535 , 1918 , 283 , 302 , 127 , 0 , 0 , 0.006 , 1.847 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-1.svrp , 3 , 569.58 , 510 , 59.58 , 59.58 , 569.58 , 569.58 , 0 , 513.275 , 9.88535 , 937 , 205 , 0 , 98 , 1522 , 264 , 0.006 , 0.868 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 417.775 , 5.92136 , 764 , 93 , 284 , 136 , 0 , 0 , 0.006 , 0.901 , 1
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 394.5 , 11.1627 , 9166 , 271 , 4907 , 0 , 0 , 0 , 0.003 , 31.618 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 405.5 , 8.68557 , 619 , 109 , 0 , 0 , 542 , 110 , 0.006 , 0.295 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 417.38 , 6.01031 , 834 , 105 , 226 , 7 , 0 , 0 , 0.002 , 0.433 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-10.svrp , 3 , 444.07 , 393 , 51.07 , 51.07 , 444.07 , 444.07 , 0 , 421.86 , 5.00146 , 1178 , 85 , 0 , 6 , 458 , 120 , 0.005 , 0.371 , 1
