Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.958 , 1.05945 , 264 , 317 , 15 , 1936 , 0 , 0 , 0.352 , 6.21 , 1
VRP-Gendreau-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.282 , 687.347 , 3.93494 , 3.93436 , 691.282 , 691.281 , 8.34131e-05 , 683.274 , 1.15838 , 9343 , 526 , 1519 , 0 , 0 , 0 , 0.072 , 31.799 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93441 , 3.93436 , 691.281 , 691.281 , 7.51358e-06 , 683.274 , 1.1583 , 1427 , 473 , 0 , 0 , 1669 , 201 , 0.071 , 6.23 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.282 , 687.347 , 3.93484 , 3.93436 , 691.282 , 691.281 , 6.97631e-05 , 683.809 , 1.08097 , 1061 , 403 , 24 , 71 , 0 , 0 , 0.094 , 5.631 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.809 , 1.0809 , 553 , 415 , 0 , 69 , 288 , 45 , 0.094 , 4.915 , 1
VRP-Gendreau-SCEN_CUTS , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 647.299 , 1.65086 , 18598 , 792 , 3172 , 5883 , 0 , 0 , 0.186 , 568.32 , 1
VRP-Gendreau-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.184 , 652.688 , 5.49626 , 5.47671 , 658.184 , 652.482 , 0.866337 , 644.598 , 2.06416 , 57989 , 1083 , 8533 , 0 , 0 , 0 , 0.061 , 600.067 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47736 , 5.47671 , 658.165 , 658.165 , 9.96528e-05 , 644.598 , 2.06134 , 8240 , 941 , 0 , 0 , 5586 , 488 , 0.061 , 36.235 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.56 , 649.999 , 8.56154 , 8.56154 , 658.56 , 654.214 , 0.660051 , 645.72 , 1.94982 , 37901 , 862 , 5959 , 195 , 0 , 0 , 0.108 , 600.068 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47709 , 5.47671 , 658.165 , 658.165 , 5.87907e-05 , 645.72 , 1.89091 , 5546 , 584 , 0 , 140 , 1938 , 153 , 0.106 , 19.645 , 1
