Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 3 , 28 , 1 , 194 , 0 , 0 , 0.013 , 0.114 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 352.5 , 0.704225 , 1 , 33 , 4 , 0 , 0 , 0 , 0.004 , 0.04 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 352.5 , 0.704225 , 1 , 33 , 0 , 0 , 29 , 19 , 0.004 , 0.041 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 1 , 30 , 0 , 6 , 0 , 0 , 0.009 , 0.079 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 1 , 30 , 0 , 6 , 14 , 4 , 0.009 , 0.08 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 6 , 0 , 78 , 0 , 0 , 0.008 , 0.053 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 5 , 1 , 0 , 0 , 0 , 0.001 , 0.022 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 5 , 0 , 0 , 2 , 2 , 0.001 , 0.021 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 3 , 0 , 1 , 0 , 0 , 0.005 , 0.032 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 3 , 0 , 1 , 0 , 0 , 0.005 , 0.032 , 1
