Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-SCENOPT_CUTS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 832.124 , 6.81705 , 0.049 , 402.662 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 48579 , 5055 , 14.7138 , 401 , 4.31344 , 378 , 3.63901 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 832.124 , 6.81705 , 0.05 , 150.507 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 29467 , 2936 , 8.48153 , 118 , 2.68485 , 149 , 2.04173 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 787.037 , 2.62941 , 0.05 , 5.603 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 840 , 811 , 0.280228 , 53 , 0.225095 , 43 , 0.05313 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 787.037 , 2.62941 , 0.051 , 1.594 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 498 , 490 , 0.145203 , 16 , 0.127512 , 21 , 0.028346 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 857.66 , 788.069 , 8.11406 , 0.066 , 600.007 , 6 , 831 , 26.66 , 26.66 , 28.12 , 857.66 , 828.053 , 3.45204 , 37054 , 8271 , 19.1246 , 685 , 6.9307 , 787 , 3.79362 , 0 , 0 , 0 , 0 , 0
SVRP-SET-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 856.81 , 788.069 , 8.0229 , 0.067 , 600.007 , 6 , 834 , 22.81 , 22.81 , 23.37 , 856.81 , 832.287 , 2.86215 , 36870 , 8356 , 18.3192 , 536 , 6.56422 , 723 , 3.65811 , 0 , 0 , 0 , 0 , 0
SVRP-SET-PR-SCENOPT_CUTS , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 789.485 , 0.603674 , 0.067 , 0.951 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 17 , 277 , 0.05863 , 5 , 0.012772 , 16 , 0.010788 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 789.712 , 0.575133 , 0.067 , 0.921 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 11 , 282 , 0.05517 , 5 , 0.013159 , 15 , 0.010766 , 0 , 0 , 0 , 0 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 899.54 , 811.67 , 9.76836 , 0.085 , 600.009 , 6 , 823 , 76.54 , 76.54 , 77.77 , 899.54 , 834.977 , 7.17732 , 18849 , 10022 , 11.1165 , 625 , 3.60591 , 814 , 2.13665 , 0 , 0 , 0 , 0 , 0
SVRP-SET-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 811.67 , 7.57892 , 0.085 , 600.017 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 838.699 , 4.50121 , 22853 , 9552 , 13.8274 , 529 , 4.24141 , 689 , 2.76422 , 0 , 0 , 0 , 0 , 0
