Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 855.991 , 4.14435 , 60.09 , 127.908 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 11472 , 2432 , 7.83704 , 237 , 1.95472 , 0 , 0 , 4995 , 12.3101 , 360 , 1.40617 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 856.142 , 4.1274 , 60.068 , 95.016 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 6286 , 1866 , 6.32764 , 137 , 0.961183 , 0 , 0 , 5005 , 12.3062 , 277 , 0.779051 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 800.471 , 0.967365 , 57.475 , 58.217 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 69 , 342 , 5.14166 , 5 , 0.015981 , 0 , 0 , 4116 , 26.836 , 62 , 0.023464 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.29 , 800.129 , 1.00961 , 57.429 , 58.172 , 5 , 796 , 12.29 , 12.29 , 12.75 , 808.29 , 808.29 , 0 , 84 , 358 , 5.14594 , 5 , 0.019561 , 0 , 0 , 4116 , 26.8187 , 62 , 0.02609 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 845.53 , 802.726 , 5.06239 , 60.1 , 600.024 , 6 , 829 , 16.53 , 16.53 , 17.09 , 845.53 , 838.602 , 0.819397 , 46936 , 5829 , 22.5598 , 422 , 6.15113 , 0 , 0 , 4948 , 4.61242 , 558 , 6.71845 , 0
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 845.53 , 802.454 , 5.09459 , 60.118 , 566.308 , 6 , 829 , 16.53 , 16.53 , 17.09 , 845.53 , 845.53 , 0 , 42555 , 5991 , 19.9622 , 351 , 7.32078 , 0 , 0 , 4942 , 4.59219 , 541 , 5.50327 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 791.779 , 0.314856 , 58.922 , 59.523 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 4 , 343 , 6.5505 , 4 , 0.01767 , 0 , 0 , 2244 , 39.164 , 76 , 0.020804 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 791.102 , 0.40014 , 58.5 , 59.079 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 14 , 346 , 6.54631 , 4 , 0.017312 , 0 , 0 , 2244 , 39.1305 , 76 , 0.018846 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 896.57 , 830.435 , 7.37648 , 60.099 , 600.027 , 6 , 847 , 49.57 , 49.57 , 49.9 , 896.57 , 843.328 , 5.93836 , 16776 , 8811 , 14.3292 , 404 , 2.71854 , 0 , 0 , 4638 , 11.005 , 682 , 3.75433 , 0
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 830.433 , 5.44239 , 60.107 , 600.027 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 849.174 , 3.30842 , 25560 , 8532 , 19.311 , 298 , 3.76702 , 0 , 0 , 4645 , 11.053 , 576 , 5.18616 , 0
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.89 , 801.743 , 3.39167 , 60.076 , 132.346 , 5 , 816 , 13.89 , 13.89 , 13.91 , 829.89 , 829.89 , 0 , 11915 , 2981 , 10.3139 , 58 , 0.873759 , 0 , 0 , 2845 , 9.89924 , 150 , 1.79165 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.89 , 801.872 , 3.37612 , 60.087 , 161.302 , 5 , 816 , 13.89 , 13.89 , 13.91 , 829.89 , 829.89 , 0 , 13205 , 3143 , 11.6976 , 64 , 0.950046 , 0 , 0 , 2848 , 9.92977 , 144 , 2.00195 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 728.78 , 687.847 , 5.61665 , 60.077 , 491.577 , 6 , 676 , 52.78 , 52.78 , 55.74 , 728.78 , 728.78 , 0 , 47390 , 5387 , 23.0751 , 319 , 4.43249 , 0 , 0 , 5350 , 10.2566 , 455 , 7.02007 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 728.78 , 687.71 , 5.63539 , 60.076 , 326.476 , 6 , 676 , 52.78 , 52.78 , 55.74 , 728.78 , 728.78 , 0 , 29718 , 4142 , 18.3718 , 174 , 2.81584 , 0 , 0 , 5346 , 10.2201 , 301 , 4.36266 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 675.186 , 1.78823 , 60.102 , 61.428 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 303 , 515 , 10.7372 , 14 , 0.064985 , 0 , 0 , 3716 , 16.4817 , 59 , 0.056887 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 674.993 , 1.81636 , 60.074 , 61.631 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 263 , 517 , 10.743 , 20 , 0.058701 , 0 , 0 , 3715 , 16.4701 , 65 , 0.05482 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1112.25 , 972.208 , 12.5909 , 60.161 , 600.039 , 8 , 1035 , 77.25 , 77.25 , 77.25 , 1112.25 , 981.925 , 11.7173 , 12883 , 11713 , 16.9873 , 461 , 2.92572 , 0 , 0 , 4349 , 13.0124 , 653 , 4.28857 , 0
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1090.93 , 972.349 , 10.8698 , 60.179 , 600.033 , 8 , 1011 , 79.93 , 79.93 , 82.71 , 1090.93 , 985.844 , 9.63268 , 12716 , 11857 , 17.3827 , 438 , 3.07279 , 0 , 0 , 4346 , 12.9604 , 654 , 4.0697 , 0
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.502 , 3.87167 , 60.181 , 409.538 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 15662 , 5678 , 22.268 , 135 , 1.42149 , 0 , 0 , 3167 , 14.0353 , 258 , 3.55484 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.267 , 3.89588 , 60.16 , 245.791 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 8880 , 4531 , 17.0179 , 105 , 0.816387 , 0 , 0 , 3165 , 13.9802 , 230 , 2.03258 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1048.46 , 982.233 , 6.31658 , 60.206 , 600.029 , 8 , 1047 , 1.46 , 1.46 , 1.46 , 1048.46 , 1010.78 , 3.59404 , 19027 , 7267 , 19.5386 , 241 , 2.44328 , 0 , 0 , 4552 , 13.1058 , 462 , 5.8605 , 0
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1118.75 , 982.233 , 12.2026 , 60.214 , 600.04 , 8 , 1038 , 80.75 , 80.75 , 81.55 , 1118.75 , 998.492 , 10.7493 , 13282 , 10162 , 14.7785 , 434 , 3.40483 , 0 , 0 , 4552 , 13.1255 , 715 , 4.45611 , 0
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.28 , 946.074 , 3.68594 , 60.118 , 129.236 , 7 , 969 , 13.28 , 13.28 , 13.82 , 982.28 , 982.28 , 0 , 4754 , 2951 , 8.92131 , 88 , 0.572515 , 0 , 0 , 3946 , 12.7684 , 145 , 1.23071 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n45-k6-scen-L666.svrp , 982.28 , 945.96 , 3.69756 , 60.131 , 111.284 , 7 , 969 , 13.28 , 13.28 , 13.82 , 982.28 , 982.28 , 0 , 3559 , 2432 , 8.23903 , 84 , 0.471779 , 0 , 0 , 3958 , 12.7818 , 138 , 0.908753 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1323.11 , 1118.25 , 15.4833 , 60.271 , 600.073 , 11 , 1227 , 96.11 , 96.11 , 96.11 , 1323.11 , 1127.83 , 14.7588 , 9524 , 11313 , 18.5626 , 373 , 3.35417 , 0 , 0 , 4076 , 13.7592 , 611 , 4.53677 , 0
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1305.63 , 1118.82 , 14.3079 , 60.258 , 600.043 , 11 , 1189 , 116.63 , 116.63 , 116.63 , 1305.63 , 1131.23 , 13.3573 , 9969 , 11973 , 18.6408 , 287 , 2.96196 , 0 , 0 , 4068 , 13.699 , 482 , 4.74013 , 0
