Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 857.78 , 567.869 , 33.7978 , 0.384 , 1800.14 , 6 , 521 , 336.78 , 336.78 , 383.85 , 857.78 , 630.051 , 26.5486 , 53085 , 2230 , 13.076 , 9509 , 225.593 , 8547 , 2.10503 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 839.98 , 732.612 , 12.7822 , 60.23 , 1800.15 , 6 , 584 , 255.98 , 255.98 , 393.72 , 839.98 , 796.549 , 5.17044 , 154440 , 2014 , 30.6195 , 2134 , 70.9768 , 0 , 0 , 2644 , 0.305618 , 2064 , 7.83125 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 842.58 , 742.967 , 11.8224 , 60.263 , 1800.16 , 6 , 527 , 315.58 , 315.58 , 338.45 , 842.58 , 793.766 , 5.79344 , 179713 , 2312 , 31.3752 , 1159 , 54.3378 , 0 , 0 , 2626 , 0.285509 , 1614 , 8.52776 , 0
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 855.31 , 580.122 , 32.1741 , 0.412 , 1800.09 , 5 , 576 , 279.31 , 279.31 , 280.17 , 855.31 , 616.491 , 27.9219 , 31875 , 1281 , 6.63611 , 11093 , 214.201 , 10324 , 1.37521 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 799.73 , 747.288 , 6.55752 , 60.212 , 564.445 , 5 , 643 , 156.73 , 156.73 , 203.2 , 799.73 , 799.651 , 0.00990703 , 101496 , 876 , 15.0902 , 456 , 12.1225 , 0 , 0 , 2583 , 0.286847 , 634 , 3.63201 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 799.73 , 751.747 , 5.99988 , 60.348 , 480.338 , 5 , 643 , 156.73 , 156.73 , 203.2 , 799.73 , 799.65 , 0.00997685 , 97152 , 896 , 14.7949 , 186 , 7.38235 , 0 , 0 , 2552 , 0.286222 , 501 , 3.57531 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 869.84 , 538 , 38.1495 , 0.108 , 1800.16 , 6 , 552 , 317.84 , 317.84 , 435.46 , 869.84 , 604.371 , 30.5193 , 41771 , 1838 , 11.1876 , 9684 , 229.079 , 9206 , 1.98806 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 834.4 , 730.61 , 12.4389 , 60.245 , 1800.2 , 6 , 537 , 297.4 , 297.4 , 392.52 , 834.4 , 780.783 , 6.42576 , 149045 , 1990 , 27.5468 , 4262 , 178.184 , 0 , 0 , 2726 , 0.187914 , 3088 , 8.39953 , 0
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 841.52 , 733.573 , 12.8276 , 60.123 , 1800.16 , 6 , 570 , 271.52 , 271.52 , 321.96 , 841.52 , 776.881 , 7.68116 , 185194 , 1821 , 34.0451 , 1520 , 60.8608 , 0 , 0 , 2707 , 0.186378 , 2146 , 11.125 , 0
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 830.12 , 545.582 , 34.2768 , 0.022 , 1800.15 , 6 , 549 , 281.12 , 281.12 , 290.31 , 830.12 , 587.763 , 29.1954 , 31282 , 1282 , 7.96147 , 10057 , 246.506 , 9958 , 1.60546 , 0 , 0 , 0 , 0 , 0
