Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 681.992 , 0.827094 , 0.081 , 3.634 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.638 , 0.00606315 , 275 , 90 , 0.045441 , 82 , 2.39505 , 52 , 0.069591 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 682.989 , 0.682209 , 60.097 , 61.521 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.657 , 0.00338848 , 442 , 64 , 0.987514 , 34 , 0.451564 , 0 , 0 , 806 , 48.5425 , 51 , 0.159897 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.68 , 682.954 , 0.687265 , 60.112 , 62.069 , 2 , 682 , 5.68 , 5.68 , 6.57 , 687.68 , 687.62 , 0.00872499 , 356 , 95 , 0.922931 , 37 , 0.609703 , 0 , 0 , 806 , 49.2137 , 62 , 0.149994 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 642.633 , 1.44881 , 0.053 , 11.106 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.051 , 0.00440699 , 1021 , 154 , 0.132025 , 193 , 8.19048 , 108 , 0.196358 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 645.579 , 0.99689 , 60.291 , 63.486 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.064 , 0.00242596 , 599 , 82 , 0.315467 , 62 , 1.82277 , 0 , 0 , 1490 , 0.562373 , 70 , 0.213228 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.08 , 645.074 , 1.07445 , 60.39 , 63.853 , 2 , 646 , 6.08 , 6.08 , 6.43 , 652.08 , 652.015 , 0.0099678 , 397 , 75 , 0.297883 , 50 , 1.66041 , 0 , 0 , 1497 , 0.572591 , 72 , 0.171289 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 692.467 , 2.4227 , 0.072 , 37.721 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.607 , 0.00745319 , 3787 , 296 , 0.517724 , 392 , 20.8656 , 246 , 0.739978 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 696.924 , 1.79467 , 36.6 , 54.743 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.589 , 0.00995015 , 4056 , 211 , 0.788695 , 249 , 6.17493 , 0 , 0 , 109 , 35.853 , 242 , 1.47289 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-ProjectedSRI , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 709.66 , 698.947 , 1.50957 , 36.341 , 49.063 , 2 , 707 , 2.66 , 2.66 , 3.3 , 709.66 , 709.61 , 0.00704549 , 3238 , 207 , 0.69762 , 123 , 3.31386 , 0 , 0 , 109 , 35.5933 , 141 , 1.16598 , 1
SVRP-SET-PR-SCENOPT_CUTS-Basic , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.22 , 704.513 , 1.35915 , 0.072 , 15.187 , 2 , 710 , 4.22 , 4.22 , 4.77 , 714.22 , 714.172 , 0.00674174 , 1644 , 159 , 0.271818 , 187 , 10.5959 , 106 , 0.364703 , 0 , 0 , 0 , 0 , 1
