Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.03 , 707.681 , 3.3262 , 0.067 , 14.087 , 4 , 722 , 10.03 , 10.03 , 10.4 , 732.03 , 732.03 , 0 , 2128 , 710 , 0.541248 , 97 , 0.350622 , 102 , 0.029055 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.03 , 719.89 , 1.65844 , 60.151 , 64.276 , 4 , 722 , 10.03 , 10.03 , 10.4 , 732.03 , 732.03 , 0 , 925 , 575 , 3.25575 , 62 , 0.127851 , 0 , 0 , 3076 , 11.7077 , 134 , 0.088119 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.03 , 719.89 , 1.65844 , 60.129 , 62.999 , 4 , 722 , 10.03 , 10.03 , 10.4 , 732.03 , 732.03 , 0 , 763 , 460 , 2.90229 , 50 , 0.086598 , 0 , 0 , 3076 , 18.5421 , 125 , 0.064141 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.36 , 641.589 , 2.39908 , 0.036 , 3.8 , 4 , 646 , 11.36 , 11.36 , 11.51 , 657.36 , 657.36 , 0 , 1689 , 478 , 0.285033 , 92 , 0.159992 , 78 , 0.021421 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.36 , 647.472 , 1.50422 , 60.232 , 63.823 , 4 , 646 , 11.36 , 11.36 , 11.51 , 657.36 , 657.36 , 0 , 886 , 464 , 2.5843 , 73 , 0.171824 , 0 , 0 , 3203 , 31.1925 , 119 , 0.091713 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.36 , 647.472 , 1.50422 , 60.038 , 61.803 , 4 , 646 , 11.36 , 11.36 , 11.51 , 657.36 , 657.36 , 0 , 447 , 334 , 2.46175 , 33 , 0.073308 , 0 , 0 , 3203 , 30.8376 , 99 , 0.041969 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 694.49 , 684.096 , 1.49659 , 0.027 , 0.53 , 4 , 666 , 28.49 , 28.49 , 30.93 , 694.49 , 694.49 , 0 , 235 , 135 , 0.016133 , 41 , 0.108321 , 27 , 0.005139 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 694.49 , 693.403 , 0.1565 , 58.659 , 59.202 , 4 , 666 , 28.49 , 28.49 , 30.93 , 694.49 , 694.49 , 0 , 21 , 119 , 1.70891 , 14 , 0.060334 , 0 , 0 , 3102 , 43.1374 , 44 , 0.009273 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 694.49 , 693.965 , 0.0755362 , 60.108 , 60.403 , 4 , 666 , 28.49 , 28.49 , 30.93 , 694.49 , 694.49 , 0 , 9 , 112 , 1.76772 , 3 , 0.024041 , 0 , 0 , 3102 , 44.095 , 35 , 0.00786 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.66 , 594.35 , 0.387155 , 0.038 , 0.578 , 4 , 591 , 5.66 , 5.66 , 5.75 , 596.66 , 596.66 , 0 , 26 , 159 , 0.009742 , 12 , 0.019271 , 20 , 0.0024 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.66 , 596.66 , 3.81077e-14 , 18.007 , 18.218 , 4 , 591 , 5.66 , 5.66 , 5.75 , 596.66 , 596.66 , 0 , 1 , 171 , 0.513138 , 4 , 0.011977 , 0 , 0 , 1916 , 5.80543 , 40 , 0.003599 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.66 , 596.66 , 3.81077e-14 , 17.862 , 18.094 , 4 , 591 , 5.66 , 5.66 , 5.75 , 596.66 , 596.66 , 0 , 1 , 173 , 0.512199 , 1 , 0.006519 , 0 , 0 , 1916 , 5.92507 , 37 , 0.003818 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.69 , 704.02 , 0.658962 , 0.041 , 0.381 , 4 , 706 , 2.69 , 2.69 , 2.87 , 708.69 , 708.69 , 0 , 56 , 161 , 0.013557 , 32 , 0.051821 , 29 , 0.002936 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.69 , 708.69 , 1.60418e-14 , 7.018 , 7.135 , 4 , 706 , 2.69 , 2.69 , 2.87 , 708.69 , 708.69 , 0 , 1 , 181 , 0.055731 , 2 , 0.004013 , 0 , 0 , 201 , 6.50066 , 20 , 0.001673 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.69 , 708.69 , 1.60418e-14 , 7.228 , 7.36 , 4 , 706 , 2.69 , 2.69 , 2.87 , 708.69 , 708.69 , 0 , 1 , 181 , 0.055492 , 2 , 0.004114 , 0 , 0 , 201 , 6.71555 , 20 , 0.001691 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.84 , 687.79 , 1.44016 , 0.034 , 1.407 , 4 , 690 , 7.84 , 7.84 , 7.9 , 697.84 , 697.84 , 0 , 467 , 368 , 0.076923 , 65 , 0.129161 , 74 , 0.009598 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.84 , 691.547 , 0.901745 , 46.77 , 47.948 , 4 , 690 , 7.84 , 7.84 , 7.9 , 697.84 , 697.84 , 0 , 378 , 345 , 0.963084 , 30 , 0.083882 , 0 , 0 , 1519 , 38.261 , 68 , 0.0398 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.84 , 691.455 , 0.915027 , 45.227 , 46.029 , 4 , 690 , 7.84 , 7.84 , 7.9 , 697.84 , 697.84 , 0 , 183 , 219 , 0.872766 , 14 , 0.037233 , 0 , 0 , 1519 , 37.2293 , 51 , 0.019685 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.42 , 653.76 , 3.63492 , 0.034 , 10.693 , 4 , 669 , 9.42 , 9.42 , 9.6 , 678.42 , 678.42 , 0 , 2125 , 823 , 0.390102 , 96 , 0.216417 , 101 , 0.025631 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.42 , 666.452 , 1.7641 , 60.084 , 64.551 , 4 , 669 , 9.42 , 9.42 , 9.6 , 678.42 , 678.42 , 0 , 1221 , 559 , 3.71236 , 30 , 0.092415 , 0 , 0 , 5159 , 3.97287 , 140 , 0.110098 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.42 , 666.17 , 1.80573 , 60.065 , 65.296 , 4 , 669 , 9.42 , 9.42 , 9.6 , 678.42 , 678.42 , 0 , 1334 , 548 , 3.61929 , 14 , 0.071323 , 0 , 0 , 5133 , 3.75686 , 127 , 0.12085 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 657.18 , 657.133 , 0.00722357 , 0.05 , 0.32 , 4 , 651 , 6.18 , 6.18 , 7.13 , 657.18 , 657.18 , 0 , 1 , 123 , 0.01485 , 8 , 0.013459 , 8 , 0.002048 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 657.18 , 657.18 , 1.72992e-14 , 6.278 , 6.365 , 4 , 651 , 6.18 , 6.18 , 7.13 , 657.18 , 657.18 , 0 , 1 , 200 , 0.109902 , 1 , 0.003004 , 0 , 0 , 238 , 5.30231 , 25 , 0.001371 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 657.18 , 657.18 , 1.72992e-14 , 6.4 , 6.488 , 4 , 651 , 6.18 , 6.18 , 7.13 , 657.18 , 657.18 , 0 , 1 , 200 , 0.109254 , 1 , 0.003297 , 0 , 0 , 238 , 5.436 , 25 , 0.001338 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 739.55 , 715.103 , 3.30571 , 0.069 , 12.071 , 4 , 720 , 19.55 , 19.55 , 19.64 , 739.55 , 739.55 , 0 , 2910 , 785 , 0.623944 , 193 , 0.326097 , 191 , 0.034908 , 0 , 0 , 0 , 0 , 1
