Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n32-k5-scen-H666.svrp , 6 , 895.12 , 894 , 1.12 , 1.12 , 895.12 , 852.55 , 4.75579 , 812.5 , 9.23005 , 57390 , 13136 , 0 , 0 , 4357 , 2689 , 0.032 , 1800.02 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n32-k5-scen-H666.svrp , 6 , 894 , 894 , 0 , 0 , 894 , 848.2 , 5.12304 , 812.5 , 9.11633 , 53004 , 12432 , 0 , 0 , 428697 , 41827 , 0.031 , 1800.02 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n32-k5-scen-H666.svrp , 6 , 893 , 893 , 0 , 0 , 893 , 893 , 0 , 842.598 , 5.64413 , 50324 , 5629 , 0 , 90 , 1003 , 697 , 0.837 , 536.908 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n32-k5-scen-H666.svrp , 6 , 893 , 893 , 0 , 0 , 893 , 893 , 0 , 842.598 , 5.64413 , 39265 , 4612 , 0 , 90 , 280658 , 48078 , 0.838 , 426.079 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n32-k5-scen-L666.svrp , 5 , 808.75 , 796 , 12.75 , 12.75 , 808.75 , 808.75 , 0 , 778 , 3.80216 , 4708 , 2344 , 0 , 0 , 309 , 185 , 0.042 , 28.264 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n32-k5-scen-L666.svrp , 5 , 808.75 , 796 , 12.75 , 12.75 , 808.75 , 808.75 , 0 , 778 , 3.80216 , 5214 , 2174 , 0 , 0 , 25746 , 3710 , 0.043 , 33.401 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n32-k5-scen-L666.svrp , 5 , 808.75 , 796 , 12.75 , 12.75 , 808.75 , 808.75 , 0 , 790.968 , 2.19876 , 918 , 832 , 0 , 42 , 57 , 42 , 0.57 , 3.089 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n32-k5-scen-L666.svrp , 5 , 808.75 , 796 , 12.75 , 12.75 , 808.75 , 808.75 , 0 , 790.968 , 2.19876 , 377 , 372 , 0 , 42 , 2348 , 838 , 0.573 , 1.479 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n34-k5-scen-H666.svrp , 6 , 871.75 , 794 , 77.75 , 77.75 , 871.75 , 819.03 , 6.04761 , 774.4 , 11.1672 , 51342 , 15028 , 0 , 0 , 3891 , 2286 , 0.047 , 1800.03 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n34-k5-scen-H666.svrp , 6 , 873.45 , 804 , 69.45 , 69.45 , 873.45 , 818 , 6.34839 , 774.4 , 11.3401 , 43030 , 15319 , 0 , 0 , 373238 , 74473 , 0.05 , 1800.02 , 0
