Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.274 , 1.15829 , 42676 , 336 , 0 , 0 , 241 , 68 , 0.047 , 53.752 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.274 , 1.15829 , 1195 , 369 , 0 , 0 , 2547 , 1597 , 0.051 , 4.493 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.825 , 1.07857 , 56112 , 473 , 0 , 6 , 251 , 106 , 0.29 , 72.401 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.825 , 1.07857 , 788 , 422 , 0 , 6 , 2092 , 1467 , 0.295 , 4.517 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.4767 , 5.47671 , 658.165 , 658.165 , 0 , 644.598 , 2.06125 , 837204 , 657 , 0 , 0 , 851 , 214 , 0.039 , 1294.89 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 644.598 , 2.06125 , 3875 , 753 , 0 , 0 , 6405 , 2035 , 0.043 , 18.371 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.4767 , 5.47671 , 658.165 , 658.165 , 0 , 647.479 , 1.62355 , 1315398 , 617 , 0 , 16 , 401 , 101 , 0.305 , 1782.19 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 647.479 , 1.62355 , 2200 , 623 , 0 , 16 , 3032 , 847 , 0.305 , 9.402 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 693.338 , 3.00182 , 108328 , 1212 , 0 , 0 , 438 , 145 , 0.021 , 223.69 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 693.338 , 3.00182 , 6482 , 1314 , 0 , 0 , 9975 , 879 , 0.023 , 36.903 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52808 , 2.52809 , 714.795 , 714.795 , 0 , 694.84 , 2.79168 , 25615 , 1196 , 0 , 2 , 596 , 194 , 0.081 , 84.892 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 694.84 , 2.79168 , 4989 , 1480 , 0 , 2 , 8620 , 2291 , 0.086 , 50.102 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.5446 , 4.5446 , 715.573 , 715.573 , 0 , 703.294 , 1.71593 , 17948 , 392 , 0 , 0 , 126 , 49 , 0.025 , 22.102 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.5446 , 4.5446 , 715.573 , 715.573 , 0 , 703.294 , 1.71593 , 835 , 496 , 0 , 0 , 1616 , 487 , 0.029 , 6.166 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.54459 , 4.5446 , 715.573 , 715.573 , 0 , 705.456 , 1.41383 , 3462 , 332 , 0 , 7 , 108 , 54 , 0.277 , 6.888 , 1
