Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_0.svrp , 4 , 732.885 , 710.503 , 22.3823 , 22.3823 , 22.9257 , 732.885 , 732.885 , 0 , 715.07 , 2.43073 , 3148 , 1351 , 0 , 631 , 0 , 0 , 0.206 , 13.466 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_0.svrp , 4 , 732.885 , 710.503 , 22.3823 , 22.3823 , 22.9257 , 732.885 , 732.885 , 0 , 715.07 , 2.43073 , 2813 , 1213 , 0 , 610 , 0 , 0 , 0.203 , 16.923 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_1.svrp , 4 , 737.429 , 719.342 , 18.0865 , 18.0865 , 18.6154 , 737.429 , 737.429 , 0 , 712.582 , 3.36937 , 1759 , 1616 , 0 , 468 , 0 , 0 , 0.787 , 15.32 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_1.svrp , 4 , 737.429 , 719.342 , 18.0865 , 18.0865 , 18.6154 , 737.429 , 737.429 , 0 , 712.582 , 3.36937 , 1849 , 1819 , 0 , 603 , 0 , 0 , 0.785 , 20.57 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_2.svrp , 4 , 635.399 , 622.265 , 13.1338 , 13.1338 , 14.041 , 635.399 , 635.399 , 0 , 621.082 , 2.25322 , 623 , 699 , 0 , 151 , 0 , 0 , 1.956 , 5.011 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_2.svrp , 4 , 635.399 , 622.265 , 13.1338 , 13.1338 , 14.041 , 635.399 , 635.399 , 0 , 621.082 , 2.25322 , 641 , 1040 , 0 , 286 , 0 , 0 , 1.976 , 9.337 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_3.svrp , 4 , 735.257 , 718.677 , 16.5793 , 16.5793 , 17.8763 , 735.257 , 735.257 , 0 , 704.028 , 4.24735 , 7394 , 2551 , 0 , 737 , 0 , 0 , 0.606 , 68.653 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_3.svrp , 4 , 735.257 , 718.677 , 16.5793 , 16.5793 , 17.8763 , 735.257 , 735.257 , 0 , 704.028 , 4.24735 , 4234 , 2344 , 0 , 652 , 0 , 0 , 0.602 , 53.834 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_4.svrp , 4 , 644.778 , 621.317 , 23.4611 , 23.4611 , 23.5429 , 644.778 , 644.778 , 0 , 638.192 , 1.02143 , 418 , 677 , 0 , 167 , 0 , 0 , 0.631 , 2.063 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_4.svrp , 4 , 644.778 , 621.317 , 23.4611 , 23.4611 , 23.5429 , 644.778 , 644.778 , 0 , 638.192 , 1.02143 , 257 , 393 , 0 , 92 , 0 , 0 , 0.634 , 2.062 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 716.205 , 1.2989 , 1057 , 875 , 0 , 468 , 0 , 0 , 0.705 , 6.83 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 716.205 , 1.2989 , 873 , 926 , 0 , 424 , 0 , 0 , 0.705 , 8.828 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 686.999 , 676.064 , 10.9348 , 10.9348 , 10.9606 , 686.999 , 686.999 , 0 , 670.237 , 2.43984 , 2567 , 766 , 0 , 270 , 0 , 0 , 0.964 , 8.7 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 686.999 , 676.064 , 10.9348 , 10.9348 , 10.9606 , 686.999 , 686.999 , 0 , 670.237 , 2.43984 , 2308 , 800 , 0 , 274 , 0 , 0 , 0.962 , 9.298 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 685.685 , 668.625 , 17.0603 , 17.0603 , 17.1142 , 685.685 , 685.685 , 0 , 659.073 , 3.88107 , 3454 , 1541 , 0 , 686 , 0 , 0 , 0.396 , 24.916 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 685.685 , 668.625 , 17.0603 , 17.0603 , 17.1142 , 685.685 , 685.685 , 0 , 659.073 , 3.88107 , 5460 , 1626 , 0 , 645 , 0 , 0 , 0.396 , 38.149 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 690.452 , 660.097 , 30.3545 , 30.3545 , 31.3067 , 690.452 , 690.452 , 0 , 673.52 , 2.45235 , 1118 , 537 , 0 , 114 , 0 , 0 , 0.314 , 3.429 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 690.452 , 660.097 , 30.3545 , 30.3545 , 31.3067 , 690.452 , 690.452 , 0 , 673.52 , 2.45235 , 765 , 435 , 0 , 89 , 0 , 0 , 0.315 , 4.769 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.278 , 1.60887 , 363 , 305 , 0 , 120 , 0 , 0 , 0.646 , 1.389 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.278 , 1.60887 , 369 , 412 , 0 , 211 , 0 , 0 , 0.64 , 5.406 , 1
