Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_0.svrp , 4 , 733.429 , 710.503 , 22.9266 , 22.3823 , 22.9257 , 733.429 , 733.428 , 0.000117137 , 707.655 , 3.5142 , 83182 , 3491 , 0 , 0 , 1970 , 1285 , 0.036 , 600.015 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_0.svrp , 4 , 732.885 , 710.503 , 22.3823 , 22.3823 , 22.9257 , 732.885 , 732.885 , 0 , 715.07 , 2.43073 , 2914 , 1005 , 0 , 665 , 0 , 0 , 0.251 , 118.151 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_0.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 726.978 , 1e+102 , 715.109 , 100 , 5186 , 4443 , 0 , 6058 , 0 , 0 , 0.559 , 600.059 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_1.svrp , 4 , 737.958 , 719.342 , 18.6154 , 18.0865 , 18.6154 , 737.958 , 737.958 , 7.45571e-06 , 703.458 , 4.67502 , 142933 , 3366 , 0 , 0 , 794 , 490 , 0.019 , 600.013 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_1.svrp , 4 , 737.429 , 719.342 , 18.0865 , 18.0865 , 18.6154 , 737.429 , 737.429 , 0 , 712.582 , 3.36937 , 1200 , 978 , 0 , 434 , 0 , 0 , 0.794 , 71.67 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_1.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 731.944 , 1e+102 , 712.688 , 100 , 4537 , 4879 , 0 , 5619 , 0 , 0 , 1.251 , 600.02 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_2.svrp , 4 , 636.306 , 622.265 , 14.041 , 13.1338 , 14.041 , 636.306 , 636.306 , 6.27056e-07 , 615.588 , 3.25598 , 281974 , 1367 , 0 , 0 , 205 , 131 , 0.073 , 600.014 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_2.svrp , 4 , 635.399 , 622.265 , 13.1338 , 13.1338 , 14.041 , 635.399 , 635.399 , 0 , 621.082 , 2.25322 , 1148 , 1353 , 0 , 514 , 0 , 0 , 2.393 , 62.428 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_2.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 635.196 , 1e+102 , 621.145 , 100 , 4291 , 4360 , 0 , 6079 , 0 , 0 , 4.775 , 600.052 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_3.svrp , 4 , 740.642 , 714.627 , 26.015 , 25.3343 , 26.0135 , 740.642 , 721.571 , 2.57482 , 694.206 , 6.26968 , 23980 , 6546 , 0 , 0 , 1564 , 786 , 0.033 , 600.062 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_3.svrp , 4 , 735.257 , 718.677 , 16.5793 , 16.5793 , 17.8763 , 735.257 , 735.257 , 0 , 704.028 , 4.24735 , 2328 , 1191 , 0 , 737 , 0 , 0 , 0.617 , 158.979 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_3.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 723.966 , 1e+102 , 703.262 , 100 , 3864 , 4037 , 0 , 6883 , 0 , 0 , 2.367 , 600.118 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_4.svrp , 4 , 644.86 , 621.317 , 23.5429 , 23.4611 , 23.5429 , 644.86 , 644.86 , 3.93884e-06 , 623.208 , 3.35766 , 592806 , 598 , 0 , 0 , 71 , 40 , 0.025 , 600.012 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_4.svrp , 4 , 644.778 , 621.317 , 23.4611 , 23.4611 , 23.5429 , 644.778 , 644.778 , 0 , 638.192 , 1.02143 , 325 , 422 , 0 , 114 , 0 , 0 , 0.765 , 11.881 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_4.svrp , 4 , 644.778 , 621.317 , 23.4611 , 23.4611 , 23.5429 , 644.778 , 644.778 , 0 , 638.277 , 1.00827 , 1592 , 1831 , 0 , 1773 , 0 , 0 , 2.433 , 104.523 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 705.523 , 2.77102 , 7554 , 1542 , 0 , 0 , 610 , 372 , 0.025 , 35.564 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 716.205 , 1.2989 , 277 , 371 , 0 , 169 , 0 , 0 , 0.845 , 9.86 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 716.298 , 1.28612 , 1628 , 2152 , 0 , 2089 , 0 , 0 , 1.695 , 90.055 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 687.024 , 676.064 , 10.9606 , 10.9348 , 10.9606 , 687.024 , 687.024 , 0 , 663.007 , 3.49586 , 188244 , 2112 , 0 , 0 , 1299 , 729 , 0.039 , 574.11 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 686.999 , 676.064 , 10.9348 , 10.9348 , 10.9606 , 686.999 , 686.999 , 0 , 670.237 , 2.43984 , 2437 , 974 , 0 , 581 , 0 , 0 , 1.174 , 124.483 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 688.759 , 676.49 , 12.2696 , 12.2696 , 12.7289 , 688.759 , 685.786 , 0.431684 , 670.577 , 2.63982 , 5151 , 3132 , 0 , 5478 , 0 , 0 , 1.654 , 600.04 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 687.232 , 669.897 , 17.335 , 17.0603 , 17.3171 , 687.232 , 663.574 , 3.4424 , 643.915 , 6.30306 , 29552 , 4967 , 0 , 0 , 3813 , 1395 , 0.033 , 600.014 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 685.685 , 668.625 , 17.0603 , 17.0603 , 17.1142 , 685.685 , 685.685 , 0 , 659.073 , 3.88107 , 3539 , 1170 , 0 , 838 , 0 , 0 , 0.395 , 204.089 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 690.035 , 674.106 , 15.9294 , 15.9294 , 15.9833 , 690.035 , 684.939 , 0.738506 , 659.073 , 4.48704 , 5011 , 3003 , 0 , 6111 , 0 , 0 , 0.836 , 600.121 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 691.405 , 660.097 , 31.3079 , 30.3545 , 31.3067 , 691.405 , 691.404 , 0.00017339 , 659.667 , 4.59044 , 459732 , 990 , 0 , 0 , 547 , 215 , 0.025 , 600.014 , 0
