Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 505 , 485 , 20 , 20 , 505 , 505 , 0 , 500.867 , 0.818482 , 1 , 53 , 0 , 13 , 15 , 15 , 0.008 , 0.02 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 505 , 485 , 20 , 20 , 505 , 505 , 0 , 500.867 , 0.818482 , 1 , 53 , 0 , 13 , 15 , 15 , 26.598 , 26.61 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 719 , 719 , 0 , 0 , 719 , 719 , 0 , 719 , 0 , 1 , 31 , 0 , 24 , 0 , 0 , 0.013 , 0.02 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 719 , 719 , 0 , 0 , 719 , 719 , 0 , 719 , 0 , 1 , 31 , 0 , 24 , 0 , 0 , 4.448 , 4.455 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 635.8 , 605 , 30.8 , 30.8 , 635.8 , 635.8 , 0 , 623.537 , 1.92872 , 36 , 57 , 0 , 17 , 57 , 11 , 0.014 , 0.074 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 635.8 , 605 , 30.8 , 30.8 , 635.8 , 635.8 , 0 , 627.481 , 1.30839 , 1 , 50 , 0 , 15 , 19 , 19 , 7.975 , 7.999 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 538.4 , 515 , 23.4 , 23.4 , 538.4 , 538.4 , 0 , 519.269 , 3.55339 , 171 , 67 , 0 , 57 , 325 , 45 , 0.017 , 0.236 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 538.4 , 515 , 23.4 , 23.4 , 538.4 , 538.4 , 0 , 519.269 , 3.55339 , 171 , 67 , 0 , 57 , 325 , 45 , 5.603 , 5.821 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 453.8 , 429 , 24.8 , 24.8 , 453.8 , 453.8 , 0 , 448.8 , 1.10181 , 45 , 47 , 0 , 14 , 69 , 16 , 0.012 , 0.074 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 453.8 , 429 , 24.8 , 24.8 , 453.8 , 453.8 , 0 , 449.55 , 0.936536 , 1 , 33 , 0 , 9 , 8 , 3 , 2.558 , 2.572 , 1
