Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.274 , 1.15829 , 1210 , 385 , 0 , 0 , 680 , 524 , 0.047 , 4.184 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.274 , 1.15829 , 1195 , 369 , 0 , 0 , 2547 , 1597 , 0.051 , 4.422 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.825 , 1.07857 , 565 , 298 , 0 , 6 , 335 , 209 , 0.292 , 2.743 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.281 , 0 , 683.825 , 1.07857 , 788 , 422 , 0 , 6 , 2092 , 1467 , 0.299 , 4.554 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 644.598 , 2.06125 , 3440 , 786 , 0 , 0 , 1906 , 1104 , 0.04 , 14.298 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 644.598 , 2.06125 , 3875 , 753 , 0 , 0 , 6405 , 2035 , 0.043 , 18.446 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 647.479 , 1.62355 , 2054 , 668 , 0 , 16 , 760 , 457 , 0.303 , 7.65 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.165 , 0 , 647.479 , 1.62355 , 2200 , 623 , 0 , 16 , 3032 , 847 , 0.307 , 9.441 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 693.338 , 3.00182 , 4711 , 1282 , 0 , 0 , 449 , 295 , 0.021 , 22.896 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 693.338 , 3.00182 , 6482 , 1314 , 0 , 0 , 9975 , 879 , 0.023 , 36.991 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 694.84 , 2.79168 , 5170 , 1262 , 0 , 2 , 1089 , 709 , 0.082 , 37.221 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.795 , 0 , 694.84 , 2.79168 , 4989 , 1480 , 0 , 2 , 8620 , 2291 , 0.084 , 50.109 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.5446 , 4.5446 , 715.573 , 715.573 , 0 , 703.294 , 1.71593 , 786 , 485 , 0 , 0 , 220 , 127 , 0.025 , 3.095 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.5446 , 4.5446 , 715.573 , 715.573 , 0 , 703.294 , 1.71593 , 835 , 496 , 0 , 0 , 1616 , 487 , 0.029 , 6.159 , 1
