Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 505 , 485 , 20 , 20 , 505 , 505 , 0 , 500.867 , 0.818482 , 1 , 53 , 0 , 13 , 15 , 15 , 0.008 , 0.02 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 505 , 485 , 20 , 20 , 505 , 505 , 0 , 500.867 , 0.818482 , 1 , 53 , 0 , 13 , 15 , 15 , 0.228 , 0.24 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 505 , 485 , 20 , 20 , 505 , 505 , 0 , 500.867 , 0.818482 , 1 , 53 , 0 , 13 , 15 , 15 , 26.329 , 26.341 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 719 , 719 , 0 , 0 , 719 , 719 , 0 , 719 , 0 , 1 , 31 , 0 , 24 , 0 , 0 , 0.012 , 0.019 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 719 , 719 , 0 , 0 , 719 , 719 , 0 , 719 , 0 , 1 , 31 , 0 , 24 , 0 , 0 , 0.062 , 0.068 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 719 , 719 , 0 , 0 , 719 , 719 , 0 , 719 , 0 , 1 , 31 , 0 , 24 , 0 , 0 , 4.416 , 4.422 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 635.8 , 605 , 30.8 , 30.8 , 635.8 , 635.8 , 0 , 623.537 , 1.92872 , 36 , 57 , 0 , 17 , 57 , 11 , 0.014 , 0.072 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 635.8 , 605 , 30.8 , 30.8 , 635.8 , 635.8 , 0 , 627.481 , 1.30839 , 1 , 50 , 0 , 15 , 19 , 19 , 0.556 , 0.579 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 635.8 , 605 , 30.8 , 30.8 , 635.8 , 635.8 , 0 , 627.481 , 1.30839 , 1 , 50 , 0 , 15 , 19 , 19 , 7.913 , 7.936 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 538.4 , 515 , 23.4 , 23.4 , 538.4 , 538.4 , 0 , 519.269 , 3.55339 , 171 , 67 , 0 , 57 , 325 , 45 , 0.017 , 0.233 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 538.4 , 515 , 23.4 , 23.4 , 538.4 , 538.4 , 0 , 519.269 , 3.55339 , 171 , 67 , 0 , 57 , 325 , 45 , 0.362 , 0.577 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 538.4 , 515 , 23.4 , 23.4 , 538.4 , 538.4 , 0 , 519.269 , 3.55339 , 171 , 67 , 0 , 57 , 325 , 45 , 5.552 , 5.767 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 453.8 , 429 , 24.8 , 24.8 , 453.8 , 453.8 , 0 , 448.8 , 1.10181 , 45 , 47 , 0 , 14 , 69 , 16 , 0.012 , 0.074 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 453.8 , 429 , 24.8 , 24.8 , 453.8 , 453.8 , 0 , 449.55 , 0.936536 , 1 , 31 , 0 , 10 , 6 , 3 , 0.475 , 0.486 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 453.8 , 429 , 24.8 , 24.8 , 453.8 , 453.8 , 0 , 449.55 , 0.936536 , 1 , 33 , 0 , 9 , 8 , 3 , 2.553 , 2.567 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 516.4 , 502 , 14.4 , 14.4 , 516.4 , 516.4 , 0 , 496.731 , 3.80894 , 91 , 60 , 0 , 74 , 135 , 9 , 0.013 , 0.142 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 516.4 , 502 , 14.4 , 14.4 , 516.4 , 516.4 , 0 , 496.731 , 3.80894 , 91 , 60 , 0 , 74 , 135 , 9 , 0.377 , 0.506 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 516.4 , 502 , 14.4 , 14.4 , 516.4 , 516.4 , 0 , 496.762 , 3.8029 , 100 , 68 , 0 , 84 , 185 , 16 , 9.478 , 9.616 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.083 , 3.29198 , 88 , 66 , 0 , 36 , 56 , 13 , 0.008 , 0.083 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.1 , 3.2887 , 93 , 73 , 0 , 40 , 42 , 8 , 0.512 , 0.589 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.1 , 3.2887 , 93 , 73 , 0 , 40 , 42 , 8 , 2.332 , 2.409 , 1
