Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Recourse Cost , Model Recourse Cost , Computed Total Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Benders Cuts , Parada Cuts , Cone Cuts , Root Time (s) , Time (s) , Flow Formulation LB , Flow Formulation Time (s) , Rays in Corner LP , Network Nodes , Network Arcs
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 529.14 , 0% , 491.93 , 7.03217% , 2919 , 250 , 0 , 0 , 0 , 0.005 , 4.138 , 0 , 0 , 0 , 1116 , 12939
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 529.14 , 0% , 500.21 , 5.46736% , 982 , 209 , 0 , 0 , 0 , 0.004 , 0.885 , 0 , 0 , 0 , 1116 , 12939
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 737.55 , 0% , 702.9 , 4.69799% , 10327 , 512 , 0 , 0 , 0 , 0.002 , 26.597 , 0 , 0 , 0 , 1180 , 14488
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 737.55 , 0% , 713.36 , 3.27978% , 3460 , 383 , 0 , 0 , 0 , 0.005 , 5.515 , 0 , 0 , 0 , 1180 , 14488
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 637 , 1.99095% , 580.25 , 10.7225% , 40587 , 822 , 0 , 0 , 0 , 0.004 , 600.027 , 0 , 0 , 0 , 1191 , 14510
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 649.94 , 0% , 622.99 , 4.14654% , 5925 , 283 , 0 , 0 , 0 , 0.006 , 8.591 , 0 , 0 , 0 , 1191 , 14510
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 539.16 , 539.16 , 0% , 501.5 , 6.98494% , 10278 , 429 , 0 , 0 , 0 , 0.005 , 28.733 , 0 , 0 , 0 , 1128 , 13427
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 539.16 , 539.16 , 0% , 504.38 , 6.45078% , 11711 , 415 , 0 , 0 , 0 , 0.005 , 26.122 , 0 , 0 , 0 , 1128 , 13427
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 464.2 , 0% , 428 , 7.79836% , 11904 , 230 , 0 , 0 , 0 , 0.002 , 50.501 , 0 , 0 , 0 , 1251 , 16076
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 464.2 , 0% , 446.7 , 3.76993% , 751 , 98 , 0 , 0 , 0 , 0.003 , 0.616 , 0 , 0 , 0 , 1251 , 16076
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 518.62 , 0% , 483 , 6.86823% , 7845 , 441 , 0 , 0 , 0 , 0.004 , 23.221 , 0 , 0 , 0 , 1171 , 14440
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 518.62 , 0% , 487.95 , 5.91377% , 7433 , 349 , 0 , 0 , 0 , 0.006 , 11.939 , 0 , 0 , 0 , 1171 , 14440
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 505.94 , 0% , 477.5 , 5.62122% , 3236 , 132 , 0 , 0 , 0 , 0.001 , 3.081 , 0 , 0 , 0 , 1261 , 16192
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 505.94 , 0% , 479.2 , 5.28521% , 1363 , 110 , 0 , 0 , 0 , 0.001 , 0.875 , 0 , 0 , 0 , 1261 , 16192
