Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 0% , 487.08 , 7.94875% , 2053 , 221 , 93732 , 0 , 0 , 0.006 , 55.016
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 0% , 499.58 , 5.58642% , 506 , 141 , 18707 , 200 , 0 , 0.05 , 4.224
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 0% , 495.86 , 6.28945% , 1285 , 198 , 403 , 0 , 11 , 0.005 , 0.809
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 722 , 2.10833% , 700 , 5.09118% , 3020 , 384 , 129019 , 0 , 0 , 0.002 , 100.045
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 0% , 715.752 , 2.95543% , 1884 , 182 , 39260 , 284 , 0 , 0.024 , 28.689
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 0% , 713 , 3.32859% , 2920 , 307 , 694 , 0 , 20 , 0.006 , 2.233
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 672.84 , 595 , 77.84 , 77.84 , 672.84 , 599.12 , 10.9565% , 577.25 , 14.2069% , 1983 , 296 , 156782 , 0 , 0 , 0.007 , 100.035
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0% , 626.73 , 3.5711% , 2178 , 174 , 88992 , 468 , 0 , 0.044 , 62.91
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0% , 614.267 , 5.4886% , 5731 , 271 , 1656 , 0 , 15 , 0.007 , 6.057
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 523 , 2.99725% , 498.58 , 7.52652% , 2301 , 286 , 137790 , 0 , 0 , 0.006 , 100.033
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 528.22 , 2.02908% , 505.133 , 6.31105% , 2400 , 268 , 107965 , 254 , 0 , 0.025 , 100.036
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 539.16 , 0% , 503.19 , 6.67149% , 12169 , 398 , 3653 , 0 , 13 , 0.005 , 23.431
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 446 , 3.92072% , 428 , 7.79836% , 1922 , 161 , 134370 , 0 , 0 , 0.002 , 100.036
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 0% , 444.526 , 4.23831% , 543 , 80 , 23158 , 119 , 0 , 0.03 , 4.93
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 0% , 443.15 , 4.53468% , 1099 , 100 , 320 , 0 , 8 , 0.004 , 0.582
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 503 , 3.01184% , 476 , 8.21796% , 2235 , 293 , 144472 , 0 , 0 , 0.004 , 100.038
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 0% , 489.575 , 5.60043% , 2887 , 208 , 106470 , 467 , 0 , 0.07 , 96.799
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 0% , 482.04 , 7.05333% , 5583 , 293 , 1827 , 0 , 21 , 0.008 , 6.778
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 504 , 0.383445% , 473.5 , 6.41183% , 3381 , 121 , 105698 , 0 , 0 , 0.002 , 100.018
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 0% , 477.775 , 5.56687% , 1210 , 80 , 46299 , 83 , 0 , 0.016 , 18.424
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 0% , 476.29 , 5.86038% , 1934 , 97 , 751 , 0 , 8 , 0.001 , 1.313
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 524.54 , 2.99051% , 505 , 6.60428% , 2240 , 324 , 146261 , 0 , 0 , 0.005 , 100.057
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 536.41 , 0.795251% , 512.2 , 5.2727% , 2726 , 261 , 100244 , 428 , 0 , 0.058 , 100.015
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 540.71 , 0% , 509.64 , 5.74615% , 6800 , 367 , 2263 , 0 , 14 , 0.007 , 8.789
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 518.68 , 7.4975% , 3078 , 166 , 85877 , 0 , 0 , 0.005 , 92.813
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 530.12 , 5.4573% , 544 , 81 , 23889 , 392 , 0 , 0.026 , 7.383
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 529.72 , 5.52861% , 1031 , 86 , 424 , 0 , 11 , 0.004 , 0.649
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 481 , 3.88074% , 1429 , 133 , 63050 , 0 , 0 , 0.007 , 26.691
