Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 0% , 508.06 , 3.98382% , 164 , 82 , 939 , 958 , 0 , 0.047 , 1.17
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.14 , 485 , 44.14 , 44.14 , 529.14 , 529.14 , 0% , 495.86 , 6.28945% , 1285 , 198 , 403 , 0 , 11 , 0.004 , 0.857
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 0% , 722.933 , 1.98182% , 186 , 51 , 728 , 2607 , 0 , 0.059 , 1.006
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 737.55 , 719 , 18.55 , 18.55 , 737.55 , 737.55 , 0% , 713 , 3.32859% , 2920 , 307 , 694 , 0 , 20 , 0.005 , 2.497
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0% , 633.65 , 2.50639% , 196 , 80 , 2395 , 1714 , 0 , 0.054 , 1.104
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0% , 614.267 , 5.4886% , 5731 , 271 , 1656 , 0 , 15 , 0.006 , 6.86
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 539.16 , 0% , 510.72 , 5.27487% , 667 , 138 , 12378 , 3057 , 0 , 0.031 , 5.387
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-34.svrp , 4 , 539.16 , 515 , 24.16 , 24.16 , 539.16 , 539.16 , 0% , 503.19 , 6.67149% , 12169 , 398 , 3653 , 0 , 13 , 0.005 , 23.49
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 0% , 455.153 , 1.94897% , 123 , 63 , 2102 , 837 , 0 , 0.047 , 0.521
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-35.svrp , 3 , 464.2 , 429 , 35.2 , 35.2 , 464.2 , 464.2 , 0% , 443.15 , 4.53468% , 1099 , 100 , 320 , 0 , 8 , 0.003 , 0.578
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 0% , 501.283 , 3.34284% , 180 , 76 , 2255 , 2854 , 0 , 0.257 , 1.735
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 518.62 , 502 , 16.62 , 16.62 , 518.62 , 518.62 , 0% , 482.04 , 7.05333% , 5583 , 293 , 1827 , 0 , 21 , 0.006 , 6.704
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 0% , 489.66 , 3.21777% , 260 , 51 , 8004 , 662 , 0 , 0.043 , 1.362
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 505.94 , 474 , 31.94 , 31.94 , 505.94 , 505.94 , 0% , 476.29 , 5.86038% , 1934 , 97 , 751 , 0 , 8 , 0.001 , 1.357
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 540.71 , 0% , 518.956 , 4.02331% , 233 , 130 , 2721 , 3169 , 0 , 0.094 , 1.227
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 540.71 , 0% , 509.64 , 5.74615% , 6800 , 367 , 2263 , 0 , 14 , 0.006 , 9.136
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 549.983 , 1.9148% , 66 , 64 , 1215 , 749 , 0 , 0.063 , 0.287
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 529.72 , 5.52861% , 1031 , 86 , 424 , 0 , 11 , 0.004 , 0.627
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 489.085 , 2.26517% , 35 , 53 , 275 , 984 , 0 , 0.068 , 0.277
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 482.42 , 3.59698% , 979 , 94 , 409 , 0 , 14 , 0.007 , 0.641
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 542.581 , 0.988914% , 13 , 145 , 0 , 525 , 0 , 0.906 , 1.341
