Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 896.26 , 515.927 , 42.4355 , 0.009 , 1800.14 , 6 , 511 , 385.26 , 344.05 , 385.26 , 896.26 , 631.962 , 29.489 , 80767 , 3125 , 26.7561 , 7314 , 6.85249 , 0 , 13343 , 16.6322 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 841.63 , 735.04 , 12.6647 , 60.188 , 1800.08 , 6 , 659 , 182.63 , 182.49 , 182.63 , 841.63 , 810.254 , 3.72798 , 185995 , 2529 , 47.3456 , 3843 , 3.70287 , 0 , 0 , 0 , 1733 , 0.638845 , 4418 , 43.4519 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 876.36 , 532.5 , 39.2373 , 0.019 , 1800.11 , 5 , 487 , 389.36 , 345.31 , 389.36 , 876.36 , 622.345 , 28.9852 , 53904 , 2024 , 15.8714 , 4218 , 3.92923 , 0 , 16527 , 11.7655 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 805.75 , 729.233 , 9.49642 , 2.529 , 186.934 , 5 , 747 , 58.75 , 58.57 , 58.75 , 805.75 , 805.75 , 0 , 60508 , 555 , 10.5907 , 744 , 0.675388 , 0 , 0 , 0 , 312 , 0.098252 , 843 , 10.0581 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 892.67 , 543.718 , 39.0908 , 0.015 , 1800.1 , 6 , 530 , 362.67 , 343.61 , 362.67 , 892.67 , 602.022 , 32.5594 , 58573 , 2430 , 23.1617 , 9018 , 7.85055 , 0 , 13172 , 13.9037 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 858.01 , 715.067 , 16.6598 , 61.244 , 1800.09 , 6 , 704 , 154.01 , 145.35 , 154.01 , 858.01 , 783.97 , 8.62929 , 129982 , 2135 , 35.896 , 8997 , 7.56698 , 0 , 0 , 0 , 1310 , 0.369543 , 6212 , 39.215 , 0
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 872.65 , 529.366 , 39.3381 , 0.009 , 1800.1 , 6 , 557 , 315.65 , 312.24 , 315.65 , 872.65 , 584.642 , 33.0039 , 55503 , 1909 , 20.5878 , 4712 , 3.52199 , 0 , 16807 , 13.128 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 788.76 , 714.337 , 9.4354 , 0.31 , 319.65 , 6 , 698 , 90.76 , 90.48 , 90.76 , 788.76 , 788.76 , 0 , 70006 , 512 , 13.9716 , 1040 , 1.03715 , 0 , 0 , 0 , 43 , 0.052413 , 1565 , 13.6979 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 923.83 , 570.193 , 38.2795 , 0.018 , 1800.1 , 6 , 582 , 341.83 , 320.42 , 341.83 , 923.83 , 611.804 , 33.7753 , 43177 , 2490 , 13.4566 , 10674 , 10.5559 , 0 , 14927 , 12.1843 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 908.04 , 741.345 , 18.3577 , 2.248 , 1800.09 , 6 , 688 , 220.04 , 218.42 , 220.04 , 908.04 , 781.549 , 13.9301 , 82605 , 3478 , 27.7314 , 10842 , 9.71848 , 0 , 0 , 0 , 283 , 0.157198 , 9381 , 31.5673 , 0
