Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.768 , 1.04404 , 0.087 , 1.831 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 346 , 77 , 0.148731 , 60 , 0.054409 , 0 , 33 , 0.350645 , 0 , 0 , 78 , 0.330994 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.772 , 1.04332 , 1.339 , 3.312 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 272 , 64 , 0.151403 , 30 , 0.031906 , 0 , 0 , 0 , 96 , 0.5154 , 147 , 0.819027 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641.225 , 1.71743 , 0.097 , 7.403 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1047 , 153 , 0.384422 , 254 , 0.267034 , 0 , 61 , 1.05367 , 0 , 0 , 273 , 0.903771 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 643.675 , 1.34187 , 60.705 , 63.106 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 364 , 77 , 0.301707 , 134 , 0.09307 , 0 , 0 , 0 , 1106 , 1.68357 , 194 , 0.898736 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688.06 , 3.13107 , 0.073 , 28.346 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 3873 , 248 , 1.5863 , 488 , 0.487807 , 0 , 130 , 3.76413 , 0 , 0 , 545 , 3.03989 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 689.05 , 2.99169 , 3.767 , 20.961 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 3120 , 153 , 1.76055 , 70 , 0.05417 , 0 , 0 , 0 , 131 , 2.228 , 687 , 7.44346 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 702.572 , 1.6736 , 0.087 , 1.318 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 226 , 82 , 0.1054 , 48 , 0.033911 , 0 , 51 , 0.194526 , 0 , 0 , 93 , 0.185542 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 704.544 , 1.39751 , 49.335 , 56.176 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 940 , 125 , 0.644465 , 42 , 0.046758 , 0 , 0 , 0 , 727 , 4.65372 , 301 , 2.98728 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 713.163 , 2.03535 , 0.064 , 6.523 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 1470 , 114 , 0.324651 , 622 , 0.560439 , 0 , 57 , 1.23676 , 0 , 0 , 116 , 0.968867 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 716.546 , 1.57061 , 60.147 , 63.321 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 504 , 91 , 0.549771 , 130 , 0.120322 , 0 , 0 , 0 , 898 , 1.91953 , 188 , 1.41958 , 1
SVRP-PARADA_SET-PARTIAL_ROUTE-NODE-Basic , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 652.16 , 1.56818 , 0.079 , 0.603 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 27 , 36 , 0.022672 , 24 , 0.02546 , 0 , 15 , 0.069569 , 0 , 0 , 37 , 0.068067 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-Basic , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 652.6 , 1.50177 , 1.762 , 2.471 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 1 , 35 , 0.044698 , 14 , 0.018018 , 0 , 0 , 0 , 66 , 0.769871 , 78 , 0.131689 , 1
