Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 857.476 , 3.97801 , 60.035 , 324.683 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 47853 , 3621 , 11.4968 , 91 , 0.011334 , 0 , 0 , 0 , 5662 , 3.88599 , 204 , 0.873488 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 857.476 , 3.97801 , 60.047 , 499.85 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 59518 , 4345 , 14.8094 , 131 , 0.019502 , 0 , 0 , 0 , 5659 , 3.87992 , 262 , 8.85143 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.485 , 1.26928 , 55.735 , 56.306 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 287 , 563 , 3.52653 , 24 , 0.002136 , 0 , 0 , 0 , 4209 , 27.5198 , 76 , 0.002087 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.485 , 1.26928 , 55.673 , 56.266 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 287 , 563 , 3.52582 , 24 , 0.002166 , 0 , 0 , 0 , 4209 , 27.5155 , 76 , 0.024116 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 804.457 , 4.92059 , 60.057 , 993.456 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 59276 , 7865 , 16.2257 , 641 , 0.116781 , 0 , 0 , 0 , 5302 , 1.77065 , 877 , 1.04009 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 804.434 , 4.92337 , 60.06 , 795.113 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 28959 , 8944 , 10.6944 , 851 , 0.147958 , 0 , 0 , 0 , 5287 , 1.75762 , 1246 , 5.60321 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.659 , 0.959498 , 79.858 , 80.819 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 408 , 900 , 4.73042 , 35 , 0.003645 , 0 , 0 , 0 , 2560 , 56.1636 , 106 , 0.002275 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.659 , 0.959498 , 79.921 , 80.929 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 405 , 904 , 4.72738 , 31 , 0.003433 , 0 , 0 , 0 , 2560 , 56.1629 , 103 , 0.040044 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 884.31 , 830.477 , 6.08762 , 60.091 , 1000.05 , 6 , 847 , 37.31 , 37.31 , 37.31 , 884.31 , 843.118 , 4.65806 , 26900 , 13790 , 12.8435 , 648 , 0.080206 , 0 , 0 , 0 , 5250 , 2.31246 , 917 , 0.63325 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 830.478 , 5.43726 , 60.068 , 1000.03 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 841.715 , 4.15775 , 28318 , 9968 , 13.5243 , 416 , 0.047807 , 0 , 0 , 0 , 5254 , 2.32212 , 650 , 7.31094 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.609 , 3.41008 , 60.059 , 254.575 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 21381 , 4027 , 10.3125 , 88 , 0.007751 , 0 , 0 , 0 , 3132 , 5.4814 , 167 , 0.007018 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 801.609 , 3.41008 , 60.083 , 218.891 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 14469 , 4038 , 8.57512 , 131 , 0.025247 , 0 , 0 , 0 , 3124 , 5.43134 , 228 , 2.3943 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 685.71 , 6.02464 , 60.065 , 654.881 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 53706 , 6761 , 15.0272 , 371 , 0.049618 , 0 , 0 , 0 , 5967 , 4.22157 , 480 , 0.040362 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 685.596 , 6.04026 , 60.049 , 461.329 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 40209 , 5415 , 12.8905 , 211 , 0.021894 , 0 , 0 , 0 , 5926 , 4.17277 , 435 , 6.96017 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 672.885 , 2.12293 , 83.285 , 84.05 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 337 , 683 , 11.3277 , 17 , 0.001422 , 0 , 0 , 0 , 4020 , 40.936 , 75 , 0.002185 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 672.885 , 2.12293 , 83.354 , 84.136 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 337 , 683 , 11.2997 , 17 , 0.00142 , 0 , 0 , 0 , 4020 , 40.9206 , 75 , 0.019569 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1111.05 , 971.366 , 12.5723 , 60.134 , 1000.02 , 8 , 1020 , 91.05 , 89.58 , 91.05 , 1111.05 , 983.964 , 11.4384 , 15049 , 15436 , 10.5358 , 717 , 0.085596 , 0 , 0 , 0 , 4750 , 4.13731 , 942 , 0.458999 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1135.39 , 971.319 , 14.4506 , 60.141 , 1000.04 , 8 , 1069 , 66.39 , 66.39 , 66.39 , 1135.39 , 987.252 , 13.0473 , 16511 , 15992 , 11.591 , 780 , 0.095722 , 0 , 0 , 0 , 4727 , 4.09101 , 1093 , 4.07062 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 933.184 , 4.0072 , 60.097 , 575.333 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 20444 , 6675 , 16.957 , 139 , 0.02141 , 0 , 0 , 0 , 3553 , 6.96318 , 269 , 0.214666 , 1
